"Subnational electricity consumption, Great Britain, 2014",,,,,,,,,,,,,,,,,,,,,,,
"This table shows the electricity consumption and the number of electric meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,,,,,,,,,,,,
Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic Standard","Number of meters
(thousands):
Domestic E7 
","Number of meters
(thousands):
All Domestic
","Number of meters
(thousands):
All Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic Standard","Total consumption
(GWh):
Domestic E7","Total consumption
(GWh):
All Domestic
","Total consumption
(GWh):
All Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic Standard","Mean consumption
(kWh per meter):
Domestic E7","Mean consumption
(kWh per meter):
All Domestic
","Mean consumption
(kWh per meter):
All Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic Standard","Median consumption
(kWh per meter):
Domestic E7","Median consumption
(kWh per meter):
All Domestic
","Median consumption
(kWh per meter):
All Non-Domestic","Median consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
E06000014,Yorkshire and The Humber,York,78.1,10.1,88.2,7,96,274,50,323,483,806,"3,502","4,919","3,664","65,205","8,438","2,962","3,860","3,020","10,354","3,105","3,809"
E07000163,Yorkshire and The Humber,Craven,23.2,3.4,26.5,4,30,89,26,116,152,267,"3,861","7,764","4,354","41,109","8,841","3,063","6,123","3,221","8,932","3,387","4,624"
E07000164,Yorkshire and The Humber,Hambleton,34.1,5.8,39.9,5,45,141,35,176,303,479,"4,127","6,123","4,416","55,873","10,574","3,353","4,861","3,468","8,385","3,608","4,520"
E07000165,Yorkshire and The Humber,Harrogate,62.8,7.7,70.5,8,79,257,49,306,510,816,"4,096","6,369","4,344","62,038","10,363","3,277","4,888","3,375","8,375","3,485","4,500"
E07000166,Yorkshire and The Humber,Richmondshire,18.9,4.0,22.9,3,26,76,26,102,125,228,"4,003","6,666","4,464","42,010","8,796","3,263","5,023","3,419","7,649","3,528","4,823"
E07000167,Yorkshire and The Humber,Ryedale,21.0,4.0,24.9,4,29,85,26,112,202,314,"4,066","6,639","4,477","51,567","10,876","3,220","5,157","3,376","7,493","3,530","4,825"
E07000168,Yorkshire and The Humber,Scarborough,49.5,8.3,57.8,6,64,167,43,210,305,515,"3,374","5,214","3,639","47,241","8,015","2,765","3,853","2,851","6,659","2,941","4,259"
E07000169,Yorkshire and The Humber,Selby,32.5,4.7,37.1,3,41,129,29,158,382,540,"3,963","6,212","4,245","112,081","13,310","3,324","4,409","3,402","8,742","3,482","4,437"
E08000016,Yorkshire and The Humber,Barnsley,105.5,2.4,107.8,7,114,351,13,364,560,924,"3,327","5,449","3,374","85,792","8,078","2,871","3,791","2,883","8,809","2,936","3,512"
E08000017,Yorkshire and The Humber,Doncaster,127.9,4.5,132.4,9,141,442,23,465,867,"1,332","3,455","5,157","3,513","98,685","9,433","2,973","3,884","2,993","10,400","3,064","3,662"
E08000018,Yorkshire and The Humber,Rotherham,111.5,3.9,115.4,7,122,374,20,394,665,"1,058","3,349","5,169","3,410","94,246","8,642","2,913","3,767","2,931","10,259","2,992","3,606"
E08000019,Yorkshire and The Humber,Sheffield,224.5,13.8,238.3,17,255,747,72,818,"1,663","2,482","3,326","5,193","3,434","99,391","9,730","2,832","4,149","2,878","10,673","2,953","3,505"
E08000032,Yorkshire and The Humber,Bradford,195.8,16.4,212.3,16,228,695,89,783,"1,061","1,844","3,547","5,394","3,690","67,550","8,090","3,024","4,234","3,075","9,417","3,153","3,930"
E08000033,Yorkshire and The Humber,Calderdale,87.1,7.4,94.5,7,102,311,43,354,511,864,"3,570","5,746","3,741","69,899","8,489","3,000","4,648","3,070","9,912","3,153","3,915"
E08000034,Yorkshire and The Humber,Kirklees,171.2,11.1,182.3,13,196,600,58,658,865,"1,524","3,505","5,254","3,612","64,587","7,787","2,977","4,042","3,012","9,584","3,088","3,753"
E08000035,Yorkshire and The Humber,Leeds,307.2,35.9,343.0,25,368,"1,084",189,"1,273","2,115","3,389","3,529","5,280","3,712","84,624","9,208","2,987","4,272","3,059","11,312","3,140","3,947"
E08000036,Yorkshire and The Humber,Wakefield,140.8,9.2,150.0,11,161,468,50,518,"1,125","1,643","3,321","5,464","3,453","106,647","10,234","2,882","4,338","2,927","9,826","2,995","3,636"
E06000015,East Midlands,Derby,64.0,44.7,108.7,8,116,213,170,383,561,944,"3,329","3,796","3,521","72,518","8,103","2,867","3,104","2,960","12,056","3,039","3,735"
E06000016,East Midlands,Leicester,90.0,41.7,131.7,12,144,296,161,457,977,"1,435","3,294","3,862","3,474","78,419","9,956","2,750","3,036","2,835","10,633","2,944","3,732"
E06000018,East Midlands,Nottingham,89.4,41.4,130.8,12,142,297,166,462,791,"1,253","3,318","4,006","3,536","67,596","8,796","2,785","3,177","2,897","10,344","2,992","3,671"
E06000017,East Midlands,Rutland,8.7,7.7,16.4,2,18,34,39,74,271,344,"3,895","5,159","4,485","149,134","18,913","3,177","3,860","3,463","10,305","3,597","4,712"
E07000032,East Midlands,Amber Valley,34.4,21.3,55.8,4,60,119,95,215,383,598,"3,465","4,474","3,851","92,919","9,982","2,947","3,493","3,134","10,979","3,223","4,011"
E07000033,East Midlands,Bolsover,25.9,9.0,34.9,2,37,87,35,122,222,343,"3,343","3,890","3,484","107,958","9,287","2,893","3,174","2,958","10,681","3,023","3,642"
E07000034,East Midlands,Chesterfield,34.9,14.0,48.9,4,53,110,52,162,256,418,"3,152","3,723","3,315","61,075","7,887","2,725","3,071","2,814","9,138","2,883","3,432"
E07000035,East Midlands,Derbyshire Dales,18.8,14.6,33.4,5,38,68,77,146,264,410,"3,631","5,278","4,352","57,282","10,770","2,940","3,865","3,293","9,487","3,468","4,674"
E07000036,East Midlands,Erewash,30.4,20.4,50.8,4,54,103,81,184,226,411,"3,391","3,981","3,628","62,696","7,541","2,898","3,258","3,042","10,074","3,114","3,715"
E07000037,East Midlands,High Peak,36.9,3.9,40.9,4,44,139,24,163,610,773,"3,751","6,175","3,984","170,562","17,391","3,191","4,485","3,263","10,116","3,364","4,114"
E07000038,East Midlands,North East Derbyshire,34.3,10.1,44.4,3,47,118,44,162,268,430,"3,446","4,353","3,652","90,686","9,077","2,960","3,393","3,047","9,171","3,109","3,723"
E07000039,East Midlands,South Derbyshire,24.5,16.0,40.5,3,43,91,73,164,346,511,"3,721","4,585","4,062","126,024","11,814","3,181","3,539","3,307","10,886","3,388","4,033"
E07000129,East Midlands,Blaby,23.3,17.2,40.5,2,43,84,72,157,250,407,"3,617","4,220","3,872","103,912","9,486","3,072","3,460","3,239","15,901","3,316","3,956"
E07000130,East Midlands,Charnwood,42.6,28.7,71.3,5,77,146,119,265,443,709,"3,434","4,145","3,720","84,382","9,258","2,908","3,324","3,056","11,606","3,141","3,853"
E07000131,East Midlands,Harborough,20.9,16.4,37.2,4,41,83,82,166,222,388,"4,001","5,013","4,446","62,609","9,512","3,341","3,866","3,546","11,389","3,668","4,590"
E07000132,East Midlands,Hinckley and Bosworth,26.8,21.9,48.7,4,52,96,95,191,250,441,"3,589","4,329","3,921","69,662","8,439","3,044","3,400","3,190","11,079","3,275","4,085"
E07000133,East Midlands,Melton,11.9,10.5,22.4,2,25,44,52,96,186,282,"3,727","4,907","4,280","85,360","11,459","3,071","3,760","3,358","9,929","3,464","4,389"
E07000134,East Midlands,North West Leicestershire,24.5,17.4,41.9,3,45,90,82,172,393,565,"3,675","4,722","4,109","113,953","12,453","3,107","3,625","3,311","12,456","3,417","4,300"
E07000135,East Midlands,Oadby and Wigston,13.5,9.4,22.9,2,24,46,38,84,105,189,"3,432","4,001","3,665","69,765","7,756","2,937","3,276","3,063","12,135","3,143","3,956"
E07000136,East Midlands,Boston,16.4,12.4,28.8,3,31,61,59,119,218,337,"3,695","4,737","4,142","82,697","10,733","3,085","3,587","3,279","10,729","3,369","4,314"
E07000137,East Midlands,East Lindsey,39.4,26.2,65.6,8,73,152,139,291,391,682,"3,855","5,302","4,433","50,163","9,285","3,128","3,839","3,362","7,697","3,472","4,700"
E07000138,East Midlands,Lincoln,27.7,15.4,43.1,4,47,87,56,143,278,421,"3,145","3,636","3,321","75,856","9,010","2,671","2,979","2,778","11,254","2,873","3,551"
E07000139,East Midlands,North Kesteven,27.9,21.3,49.2,4,53,103,101,203,303,506,"3,678","4,724","4,131","75,223","9,509","3,117","3,538","3,273","8,773","3,348","4,269"
E07000140,East Midlands,South Holland,21.3,18.5,39.8,4,44,83,91,174,387,561,"3,900","4,894","4,362","100,216","12,840","3,255","3,704","3,444","9,080","3,543","4,579"
E07000141,East Midlands,South Kesteven,35.2,26.3,61.5,5,67,129,131,261,401,662,"3,676","4,993","4,239","73,206","9,879","3,093","3,760","3,342","9,870","3,440","4,397"
E07000142,East Midlands,West Lindsey,31.9,9.5,41.4,4,45,122,49,171,236,407,"3,810","5,208","4,129","58,908","8,970","3,201","3,896","3,341","7,509","3,413","4,311"
E07000150,East Midlands,Corby,21.7,6.2,27.9,2,30,74,25,100,358,458,"3,436","4,067","3,577","162,838","15,202","3,043","3,294","3,096","13,112","3,162","3,766"
E07000151,East Midlands,Daventry,18.5,15.7,34.2,3,37,80,87,167,268,435,"4,310","5,524","4,868","82,167","11,588","3,544","4,085","3,757","12,255","3,878","5,161"
E07000152,East Midlands,East Northamptonshire,23.9,14.6,38.5,3,41,92,71,164,191,354,"3,850","4,884","4,242","67,792","8,567","3,195","3,769","3,397","10,560","3,484","4,456"
E07000153,East Midlands,Kettering,28.5,14.4,42.9,3,46,101,64,165,241,406,"3,561","4,415","3,848","78,832","8,825","3,049","3,481","3,174","11,501","3,244","4,033"
E07000154,East Midlands,Northampton,62.2,34.2,96.4,7,103,218,137,355,599,954,"3,513","4,010","3,689","85,421","9,231","2,993","3,276","3,081","11,935","3,155","3,923"
E07000155,East Midlands,South Northamptonshire,21.1,16.4,37.5,3,41,90,93,183,236,419,"4,269","5,627","4,864","74,236","10,283","3,530","4,212","3,777","11,600","3,886","5,078"
E07000156,East Midlands,Wellingborough,22.3,11.5,33.9,3,37,79,50,129,244,373,"3,524","4,358","3,809","88,607","10,194","2,999","3,405","3,124","11,891","3,208","3,984"
E07000170,East Midlands,Ashfield,39.0,15.3,54.3,3,58,134,62,195,397,593,"3,435","4,030","3,602","120,052","10,297","2,976","3,305","3,058","11,734","3,119","3,742"
E07000171,East Midlands,Bassetlaw,35.9,14.8,50.7,4,55,130,69,199,371,570,"3,619","4,651","3,920","83,569","10,334","3,080","3,548","3,198","9,358","3,282","4,116"
E07000172,East Midlands,Broxtowe,31.4,17.8,49.2,3,52,106,72,178,169,347,"3,381","4,031","3,616","53,795","6,621","2,902","3,336","3,051","8,712","3,104","3,750"
E07000173,East Midlands,Gedling,31.6,20.6,52.3,3,55,112,88,200,156,356,"3,529","4,279","3,825","56,961","6,468","3,025","3,459","3,185","10,642","3,242","3,972"
E07000174,East Midlands,Mansfield,35.1,12.9,48.1,3,51,115,49,165,237,402,"3,287","3,806","3,427","73,910","7,832","2,850","3,137","2,924","10,747","2,990","3,622"
E07000175,East Midlands,Newark and Sherwood,33.0,19.0,52.0,5,57,122,88,209,395,604,"3,688","4,620","4,029","86,608","10,688","3,098","3,554","3,242","10,182","3,344","4,180"
E07000176,East Midlands,Rushcliffe,28.4,19.8,48.1,3,51,105,91,196,233,429,"3,708","4,592","4,070","70,486","8,333","3,121","3,614","3,311","9,437","3,382","4,190"
E06000019,West Midlands,"Herefordshire, County of",65.6,16.1,81.7,11,92,265,105,371,609,979,"4,046","6,541","4,537","57,845","10,624","3,325","5,181","3,538","6,858","3,638","4,635"
E06000051,West Midlands,Shropshire,114.2,21.0,135.2,16,152,451,141,592,910,"1,501","3,948","6,697","4,375","55,893","9,908","3,275","5,228","3,450","7,907","3,564","4,451"
E06000021,West Midlands,Stoke-on-Trent,102.8,9.8,112.5,8,121,338,48,385,595,981,"3,286","4,880","3,424","72,487","8,122","2,889","3,814","2,936","9,541","3,002","3,581"
E06000020,West Midlands,Telford and Wrekin,64.7,6.4,71.0,5,76,230,32,261,618,879,"3,553","4,975","3,680","114,373","11,501","3,116","3,745","3,157","10,544","3,233","3,877"
E07000192,West Midlands,Cannock Chase,37.1,4.8,41.9,3,45,139,25,165,197,362,"3,757","5,271","3,931","61,771","8,031","3,295","4,354","3,377","10,689","3,456","3,971"
E07000193,West Midlands,East Staffordshire,28.3,21.1,49.5,5,54,103,94,197,483,680,"3,629","4,472","3,989","105,794","12,585","3,044","3,452","3,197","11,551","3,309","4,096"
E07000194,West Midlands,Lichfield,36.6,6.7,43.3,4,47,147,38,185,264,449,"4,011","5,730","4,276","71,585","9,556","3,387","4,310","3,491","10,023","3,573","4,399"
E07000195,West Midlands,Newcastle-under-Lyme,49.8,5.0,54.9,4,59,175,27,202,276,478,"3,516","5,270","3,677","73,657","8,155","3,040","3,995","3,091","9,354","3,160","3,764"
E07000196,West Midlands,South Staffordshire,41.1,4.8,45.9,3,49,164,28,192,243,435,"4,001","5,812","4,189","78,627","8,888","3,377","4,264","3,445","10,389","3,516","4,226"
E07000197,West Midlands,Stafford,48.0,8.8,56.8,5,62,183,49,232,348,580,"3,820","5,573","4,092","69,642","9,389","3,243","4,209","3,344","10,515","3,442","4,099"
