"Subnational electricity consumption, Great Britain, 2014",,,,,,,,,,,,,,,,,,,,,,,
"This table shows the electricity consumption and the number of electric meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,,,,,,,,,,,,
Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic Standard","Number of meters
(thousands):
Domestic E7 
","Number of meters
(thousands):
All Domestic
","Number of meters
(thousands):
All Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic Standard","Total consumption
(GWh):
Domestic E7","Total consumption
(GWh):
All Domestic
","Total consumption
(GWh):
All Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic Standard","Mean consumption
(kWh per meter):
Domestic E7","Mean consumption
(kWh per meter):
All Domestic
","Mean consumption
(kWh per meter):
All Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic Standard","Median consumption
(kWh per meter):
Domestic E7","Median consumption
(kWh per meter):
All Domestic
","Median consumption
(kWh per meter):
All Non-Domestic","Median consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
K03000001,Great Britain,All local authorities,"23,089.8","4,618.1","27,707.8","2,482","30,190","84,690","24,490","109,180","183,012","292,192","3,668","5,303","3,940","73,738","9,679","3,064","4,065","3,179","8,693","3,261","4,162"
E92000001,England,All local authorities,"19,434.1","4,045.9","23,480.0","2,101","25,581","71,697","21,264","92,961","151,176","244,137","3,689","5,256","3,959","71,942","9,544","3,073","4,040","3,191","8,639","3,273","4,134"
E12000001,North East,All local authorities,"1,131.7",75.0,"1,206.7",84,"1,290","3,719",383,"4,102","7,865","11,966","3,286","5,107","3,399","93,957","9,274","2,858","3,894","2,888","9,207","2,952","3,601"
E12000002,North West,All local authorities,"2,926.1",244.8,"3,170.9",244,"3,415","10,568","1,464","12,032","20,117","32,149","3,612","5,979","3,795","82,311","9,413","3,106","4,780","3,175","9,817","3,257","3,958"
E12000003,Yorkshire and The Humber,All local authorities,"2,178.2",183.7,"2,361.9",185,"2,547","7,638","1,011","8,649","15,159","23,808","3,507","5,502","3,662","81,965","9,348","2,973","4,242","3,025","9,577","3,105","3,848"
E12000004,East Midlands,All local authorities,"1,288.5",728.9,"2,017.4",164,"2,181","4,563","3,228","7,790","13,334","21,124","3,541","4,428","3,862","81,323","9,684","2,993","3,439","3,138","10,421","3,226","4,036"
E12000005,West Midlands,All local authorities,"1,985.4",416.9,"2,402.2",202,"2,604","7,388","2,156","9,544","15,048","24,592","3,721","5,172","3,973","74,656","9,445","3,168","3,972","3,271","9,419","3,353","4,100"
E12000006,East,All local authorities,"1,777.4",814.5,"2,591.9",224,"2,816","6,871","4,186","11,056","16,065","27,122","3,866","5,139","4,266","71,678","9,631","3,197","3,910","3,382","9,575","3,469","4,455"
E12000007,London,All local authorities,"2,993.8",475.2,"3,469.0",404,"3,873","10,836","2,391","13,226","26,763","39,989","3,619","5,031","3,813","66,212","10,325","2,862","3,988","2,971","6,724","3,049","3,928"
E12000008,South East,All local authorities,"3,059.8",721.6,"3,781.4",340,"4,121","12,227","3,938","16,165","22,779","38,943","3,996","5,458","4,275","67,081","9,450","3,263","4,269","3,405","8,621","3,484","4,442"
E12000009,South West,All local authorities,"2,093.3",385.3,"2,478.6",255,"2,733","7,887","2,508","10,396","14,047","24,442","3,768","6,510","4,194","55,109","8,942","3,131","5,458","3,320","7,457","3,406","4,491"
W92000004,Wales,All local authorities,"1,288.4",104.4,"1,392.8",128,"1,521","4,511",678,"5,189","10,367","15,556","3,501","6,499","3,726","81,115","10,230","3,018","5,113","3,092","7,902","3,176","3,912"
S92000003,Scotland,All local authorities,"2,299.0",461.8,"2,760.8",218,"2,978","8,247","2,516","10,763","14,559","25,322","3,587","5,448","3,898","66,938","8,502","3,033","4,128","3,123","9,581","3,209","4,455"
Unallocated,Unallocated,All local authorities,68.2,6.0,74.2,35,109,235,32,267,"6,910","7,177","3,442","5,377","3,598","196,031","65,577","2,719","4,460","2,795","10,165","3,171",
E06000047,North East,County Durham,229.3,9.8,239.2,16,255,747,55,801,"1,171","1,973","3,255","5,565","3,350","73,552","7,733","2,848","4,115","2,868","8,556","2,926","3,543"
E06000005,North East,Darlington,45.7,3.9,49.7,4,53,154,20,174,244,418,"3,371","4,990","3,498","67,766","7,847","2,915","3,780","2,947","8,535","3,017","3,709"
E06000001,North East,Hartlepool,40.4,2.2,42.6,3,46,131,10,141,313,454,"3,242","4,412","3,302","104,740","9,953","2,856","3,322","2,866","6,908","2,913","3,438"
E06000002,North East,Middlesbrough,57.1,4.2,61.4,4,66,187,19,206,289,494,"3,271","4,421","3,350","68,840","7,539","2,887","3,408","2,910","10,338","2,975","3,617"
E06000057,North East,Northumberland,137.3,14.6,151.9,14,166,493,86,579,926,"1,504","3,588","5,905","3,811","67,661","9,087","3,025","4,320","3,082","7,853","3,163","4,140"
E06000003,North East,Redcar and Cleveland,59.4,4.0,63.4,4,67,195,18,213,871,"1,084","3,277","4,555","3,358","231,770","16,150","2,899","3,328","2,913","8,813","2,962","3,537"
E06000004,North East,Stockton-on-Tees,80.4,4.3,84.7,5,90,273,20,293,"1,049","1,342","3,399","4,537","3,458","193,378","14,890","3,004","3,334","3,012","11,122","3,079","3,649"
E08000037,North East,Gateshead,87.6,5.7,93.3,6,100,280,27,307,591,898,"3,193","4,794","3,291","92,566","9,009","2,798","3,939","2,829","11,966","2,899","3,448"
E08000021,North East,Newcastle upon Tyne,113.6,12.2,125.8,10,136,371,64,435,863,"1,298","3,270","5,219","3,460","85,539","9,550","2,781","4,288","2,853","10,297","2,932","3,663"
E08000022,North East,North Tyneside,90.7,6.1,96.8,6,102,287,28,315,453,768,"3,160","4,648","3,254","79,843","7,494","2,771","3,680","2,798","9,667","2,850","3,411"
E08000023,North East,South Tyneside,68.8,2.1,70.9,4,75,211,10,221,241,462,"3,071","4,771","3,121","60,005","6,168","2,701","3,782","2,716","9,152","2,764","3,272"
E08000024,North East,Sunderland,121.3,5.7,127.1,8,135,391,27,417,853,"1,270","3,220","4,638","3,284","107,061","9,409","2,828","3,534","2,843","9,674","2,900","3,469"
E06000008,North West,Blackburn with Darwen,55.8,4.3,60.1,5,65,197,23,220,391,611,"3,538","5,360","3,669","77,031","9,383","3,050","3,921","3,086","9,676","3,175","3,879"
E06000009,North West,Blackpool,59.1,7.9,67.1,7,74,214,44,258,309,567,"3,625","5,484","3,845","44,709","7,658","3,082","4,413","3,170","8,114","3,268","4,059"
E06000049,North West,Cheshire East,150.6,15.2,165.8,14,180,609,99,708,"1,109","1,817","4,042","6,526","4,271","79,174","10,103","3,349","5,020","3,437","11,053","3,542","4,363"
E06000050,North West,Cheshire West and Chester,139.0,9.4,148.4,12,160,525,61,586,"1,751","2,337","3,780","6,475","3,951","151,257","14,608","3,242","5,197","3,307","11,746","3,394","4,105"
E06000006,North West,Halton,53.0,1.7,54.7,4,58,186,9,196,508,704,"3,517","5,463","3,578","143,194","12,095","3,142","4,305","3,164","11,211","3,221","3,631"
E06000007,North West,Warrington,85.5,3.9,89.5,6,96,310,22,333,597,930,"3,627","5,672","3,717","95,703","9,716","3,154","4,627","3,195","11,399","3,266","3,802"
E07000026,North West,Allerdale,40.7,4.8,45.6,6,51,148,34,183,336,519,"3,636","7,135","4,007","61,112","10,159","3,115","5,563","3,231","9,026","3,364","4,284"
E07000027,North West,Barrow-in-Furness,30.9,2.1,33.1,2,35,101,11,113,392,505,"3,275","5,250","3,402","177,534","14,304","2,876","3,712","2,913","9,211","2,979","3,634"
E07000028,North West,Carlisle,45.0,4.8,49.8,5,55,163,34,197,416,613,"3,625","7,078","3,961","78,283","11,124","3,053","5,749","3,178","8,981","3,288","4,062"
E07000029,North West,Copeland,29.3,3.5,32.8,3,36,104,26,130,104,235,"3,551","7,419","3,966","37,570","6,587","3,098","5,865","3,214","8,445","3,301","4,311"
E07000030,North West,Eden,19.4,5.5,24.9,4,29,81,46,127,238,365,"4,191","8,336","5,113","53,447","12,442","3,403","6,904","3,771","8,453","3,993","5,461"
E07000031,North West,South Lakeland,44.0,9.6,53.6,8,61,168,72,240,327,568,"3,823","7,504","4,485","42,470","9,257","3,114","5,851","3,357","8,586","3,523","5,127"
E08000001,North West,Bolton,112.6,10.5,123.1,8,131,402,58,461,555,"1,016","3,574","5,535","3,742","67,527","7,737","3,098","4,415","3,163","9,420","3,232","3,926"
E08000002,North West,Bury,76.3,6.4,82.7,5,88,280,34,314,357,672,"3,665","5,415","3,799","65,417","7,618","3,165","4,344","3,211","9,696","3,286","3,979"
E08000003,North West,Manchester,194.2,24.6,218.8,19,238,681,146,826,"1,855","2,682","3,504","5,922","3,776","98,161","11,279","2,941","5,212","3,089","11,550","3,197","3,991"
E08000004,North West,Oldham,90.4,4.6,94.9,6,101,313,25,338,436,774,"3,461","5,575","3,563","68,425","7,640","3,039","4,269","3,070","9,002","3,136","3,743"
E08000005,North West,Rochdale,86.6,5.4,92.0,6,98,306,30,336,503,839,"3,531","5,543","3,649","80,340","8,538","3,089","4,380","3,130","10,100","3,204","3,810"
E08000006,North West,Salford,99.4,12.7,112.0,8,120,355,70,425,628,"1,053","3,574","5,520","3,794","78,909","8,778","3,045","4,751","3,150","10,165","3,224","3,998"
E08000007,North West,Stockport,116.1,11.4,127.5,9,136,437,64,501,581,"1,081","3,764","5,566","3,925","64,657","7,921","3,268","4,671","3,341","10,315","3,420","4,073"
E08000008,North West,Tameside,94.6,5.9,100.5,6,107,327,32,359,446,805,"3,458","5,455","3,575","69,069","7,526","3,027","4,238","3,070","9,836","3,135","3,764"
E08000009,North West,Trafford,89.0,8.5,97.5,8,106,346,49,394,992,"1,387","3,885","5,709","4,045","120,730","13,117","3,287","4,705","3,358","11,337","3,457","4,115"
E08000010,North West,Wigan,132.7,8.5,141.2,8,150,463,45,508,671,"1,180","3,491","5,279","3,599","79,548","7,882","3,093","4,015","3,125","9,845","3,187","3,665"
E07000117,North West,Burnley,38.1,2.2,40.3,3,44,129,12,141,200,341,"3,387","5,592","3,507","61,189","7,833","2,994","4,398","3,038","9,103","3,107","3,783"
E07000118,North West,Chorley,45.0,3.1,48.1,3,52,169,19,188,197,385,"3,764","6,063","3,914","57,431","7,479","3,242","4,756","3,299","10,160","3,374","4,021"
E07000119,North West,Fylde,32.0,5.0,37.0,3,40,124,31,154,244,399,"3,869","6,157","4,179","72,496","9,882","3,240","5,229","3,396","8,536","3,485","4,311"
E07000120,North West,Hyndburn,33.8,2.3,36.2,3,39,115,12,127,173,300,"3,389","5,265","3,509","56,716","7,644","2,956","3,783","2,990","8,310","3,074","3,707"
E07000121,North West,Lancaster,55.0,6.5,61.5,6,67,196,41,237,323,560,"3,564","6,364","3,858","57,421","8,346","3,023","5,070","3,134","8,645","3,226","4,089"
E07000122,North West,Pendle,37.0,2.7,39.7,3,43,128,15,142,242,385,"3,453","5,459","3,589","73,378","8,944","2,936","3,905","2,973","7,350","3,040","3,803"
E07000123,North West,Preston,54.0,5.5,59.5,6,65,194,30,224,410,634,"3,591","5,515","3,768","71,596","9,722","3,071","4,414","3,134","9,938","3,232","3,915"
E07000124,North West,Ribble Valley,22.7,2.3,25.0,3,28,96,18,114,335,449,"4,220","7,895","4,553","116,925","16,128","3,425","5,984","3,539","9,147","3,670","4,589"
E07000125,North West,Rossendale,29.3,2.0,31.3,3,34,109,12,121,221,342,"3,728","6,016","3,874","86,131","10,102","3,194","4,707","3,247","8,189","3,323","4,116"
E07000126,North West,South Ribble,45.3,2.8,48.1,3,51,168,18,186,303,489,"3,720","6,265","3,868","88,718","9,487","3,242","4,893","3,291","10,539","3,379","4,004"
E07000127,North West,West Lancashire,43.7,3.9,47.7,4,52,177,25,202,324,526,"4,056","6,288","4,241","83,385","10,210","3,451","4,912","3,515","10,699","3,612","4,426"
E07000128,North West,Wyre,44.6,5.0,49.6,4,54,169,31,200,308,508,"3,789","6,182","4,032","70,994","9,414","3,214","4,978","3,303","8,151","3,394","4,186"
E08000011,North West,Knowsley,63.3,1.7,65.0,3,68,223,9,232,535,767,"3,519","5,348","3,567","180,386","11,286","3,150","3,808","3,160","11,774","3,208","3,761"
E08000012,North West,Liverpool,200.8,12.0,212.8,15,227,665,70,735,"1,245","1,980","3,312","5,798","3,452","84,825","8,702","2,849","4,805","2,906","9,681","2,976","3,493"
E08000014,North West,Sefton,119.5,6.4,125.9,8,134,426,34,461,503,963,"3,567","5,362","3,658","63,017","7,195","3,098","4,422","3,133","8,732","3,195","3,884"
E08000013,North West,St. Helens,77.6,2.5,80.1,5,85,267,13,279,476,755,"3,438","5,000","3,488","103,800","8,922","3,049","3,866","3,066","10,803","3,128","3,633"
E08000015,North West,Wirral,140.3,7.3,147.6,9,156,496,38,534,576,"1,109","3,534","5,190","3,616","65,399","7,093","3,075","4,114","3,103","9,048","3,161","3,775"
E06000011,Yorkshire and The Humber,East Riding of Yorkshire,138.7,13.7,152.4,13,166,514,82,595,"1,045","1,641","3,703","5,956","3,906","79,661","9,913","3,121","4,522","3,189","8,293","3,271","4,111"
E06000010,Yorkshire and The Humber,"Kingston upon Hull, City of",109.3,9.7,119.0,8,127,350,43,393,702,"1,095","3,199","4,445","3,301","85,967","8,612","2,779","3,302","2,803","11,615","2,885","3,500"
E06000012,Yorkshire and The Humber,North East Lincolnshire,68.4,4.1,72.6,5,78,238,22,260,631,891,"3,481","5,193","3,579","126,915","11,484","3,026","3,838","3,052","9,275","3,115","3,713"
E06000013,Yorkshire and The Humber,North Lincolnshire,70.0,3.9,73.9,6,80,248,23,271,885,"1,156","3,542","5,909","3,666","145,021","14,451","3,036","4,529","3,074","9,076","3,152","3,793"
