"Subnational electricity consumption, Great Britain, 2019",,,,,,,,,,,,,,,,,,,,,,,
"This table shows the electricity consumption and the number of electric meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,,,,,,,,,,,,
Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic Standard","Number of meters
(thousands):
Domestic E7 
","Number of meters
(thousands):
All Domestic
","Number of meters
(thousands):
All Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic Standard","Total consumption
(GWh):
Domestic E7","Total consumption
(GWh):
All Domestic
","Total consumption
(GWh):
All Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic Standard","Mean consumption
(kWh per meter):
Domestic E7","Mean consumption
(kWh per meter):
All Domestic
","Mean consumption
(kWh per meter):
All Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic Standard","Median consumption
(kWh per meter):
Domestic E7","Median consumption
(kWh per meter):
All Domestic
","Median consumption
(kWh per meter):
All Non-Domestic","Median consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
K03000001,Great Britain (inc unallocated),All local authorities,"24,769.2","3,942.6","28,711.8","2,562.8","31,274.6","82,843.6","19,893.1","102,736.8","169,804.1","272,540.9","3,344.6","5,045.7","3,578.2","66,256.3","8,714.4","2,720.9","3,813.5","2,817.3","7,151.3","2,893.7","3,770.2"
K04000001,England and Wales (inc unallocated),All local authorities,"22,323.7","3,550.7","25,874.4","2,332.1","28,206.5","75,058.1","18,053.5","93,111.6","155,360.8","248,472.3","3,362.3","5,084.5","3,598.6","66,618.1","8,809.0","2,733.1","3,843.3","2,834.0","7,081.9","2,910.4","3,761.5"
E92000001,England,All local authorities,"20,955.8","3,457.8","24,413.6","2,181.3","26,594.9","70,667.2","17,497.7","88,164.9","141,975.4","230,140.3","3,372.2","5,060.3","3,611.3","65,087.5","8,653.6","2,735.6","3,827.6","2,839.2","7,119.1","2,915.2","3,770.1"
E12000001,North East,All local authorities,"1,179.6",61.3,"1,241.0",87.7,"1,328.6","3,460.5",294.8,"3,755.4","7,243.3","10,998.6","2,933.6","4,807.2","3,026.2","82,631.1","8,278.3","2,492.7","3,594.3","2,516.8","7,483.3","2,578.1","3,205.0"
E12000002,North West,All local authorities,"3,069.7",216.5,"3,286.1",251.9,"3,538.0","9,962.5","1,193.6","11,156.1","18,668.6","29,824.7","3,245.5","5,514.0","3,394.9","74,125.5","8,429.8","2,724.6","4,351.3","2,779.1","8,172.0","2,854.2","3,550.2"
E12000003,Yorkshire and The Humber,All local authorities,"2,269.8",155.1,"2,424.9",196.8,"2,621.7","7,287.0",819.6,"8,106.6","14,438.9","22,545.5","3,210.4","5,285.5","3,343.1","73,371.0","8,599.6","2,646.7","4,024.8","2,691.6","7,810.1","2,768.9","3,494.0"
E12000004,East Midlands,All local authorities,"1,494.1",598.7,"2,092.8",172.6,"2,265.4","4,911.9","2,607.4","7,519.3","12,759.7","20,279.0","3,287.6","4,354.9","3,592.9","73,936.6","8,951.6","2,709.8","3,271.2","2,846.6","8,378.5","2,928.1","3,719.7"
E12000005,West Midlands,All local authorities,"2,136.5",355.4,"2,491.9",213.4,"2,705.3","7,255.8","1,752.3","9,008.1","14,407.6","23,415.7","3,396.1","4,930.6","3,615.0","67,513.1","8,655.6","2,812.6","3,733.3","2,903.3","7,603.9","2,982.8","3,716.9"
E12000006,East,All local authorities,"2,017.7",684.0,"2,701.7",232.9,"2,934.5","7,189.6","3,452.7","10,642.3","15,037.2","25,679.5","3,563.3","5,047.8","3,939.2","64,576.1","8,750.8","2,874.0","3,769.3","3,042.4","7,795.6","3,120.8","4,124.9"
E12000007,London,All local authorities,"3,206.9",424.8,"3,631.7",411.8,"4,043.6","10,483.3","2,034.7","12,517.9","24,775.1","37,293.0","3,269.0","4,789.6","3,446.8","60,156.3","9,222.8","2,540.0","3,752.0","2,633.7","5,514.2","2,705.1","3,555.7"
E13000001,Inner London,All local authorities,"1,418.0",134.5,"1,552.5",238.6,"1,791.1","4,344.1",673.0,"5,017.1","15,341.3","20,358.4","3,063.5","5,005.0","3,231.7","64,296.5","11,366.5","2,266.2","3,931.2","2,344.0","5,150.0","2,431.5","3,339.8"
E13000002,Outer London,All local authorities,"1,788.9",290.4,"2,079.2",173.2,"2,252.5","6,139.2","1,361.7","7,500.8","9,433.8","16,934.7","3,431.8","4,689.8","3,607.5","54,454.3","7,518.2","2,765.4","3,682.3","2,857.2","6,043.7","2,914.9","3,716.3"
E12000008,South East,All local authorities,"3,337.2",617.8,"3,955.0",350.2,"4,305.2","12,259.3","3,233.7","15,492.9","21,557.1","37,050.1","3,673.6","5,234.1","3,917.3","61,553.5","8,605.9","2,922.3","4,013.8","3,039.5","7,098.6","3,111.9","4,096.1"
E12000009,South West,All local authorities,"2,244.3",344.2,"2,588.5",264.1,"2,852.6","7,857.3","2,109.0","9,966.3","13,087.9","23,054.2","3,501.0","6,127.0","3,850.2","49,557.7","8,081.7","2,813.6","5,015.3","2,960.4","6,490.0","3,041.8","4,113.3"
W92000004,Wales,All local authorities,"1,341.2",91.7,"1,432.9",132.3,"1,565.2","4,307.1",548.8,"4,855.9","9,860.0","14,716.0","3,211.3","5,987.1","3,388.9","74,522.9","9,402.0","2,701.5","4,607.9","2,757.2","6,684.7","2,835.8","3,547.8"
S92000003,Scotland (inc unallocated),All local authorities,"2,445.5",391.9,"2,837.4",230.7,"3,068.1","7,785.6","1,839.6","9,625.2","14,443.3","24,068.5","3,183.6","4,694.2","3,392.3","62,600.0","7,844.7","2,612.4","3,432.2","2,664.9","7,893.6","2,740.6","3,856.8"
Unallocated Great Britain,Great Britain (unallocated),Unallocated,32.3,1.4,33.7,21.4,55.0,99.7,7.7,107.4,"3,896.7","4,004.1","3,086.2","5,601.5","3,189.2","182,431.0","72,747.1","2,229.2","4,489.3","2,286.0","5,237.9","2,592.3",
Unallocated England and Wales,England and Wales (unallocated),Unallocated,26.7,1.2,27.9,18.5,46.4,83.8,7.0,90.8,"3,525.3","3,616.0","3,141.1","5,694.3","3,253.1","190,535.0","77,931.8","2,242.8","4,499.8","2,313.9","5,249.1","2,647.9",
Unallocated Scotland,Scotland (unallocated),Unallocated,5.6,0.2,5.8,2.9,8.6,15.9,0.8,16.7,371.4,388.1,"2,825.9","4,874.7","2,881.1","129,967.1","44,909.8","2,176.0","4,249.2","2,196.0","5,123.2","2,378.2",
