"Subnational electricity consumption, Great Britain, 2016",,,,,,,,,,,,,,,,,,,,,,,
"This table shows the electricity consumption and the number of electric meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,,,,,,,,,,,,
Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic Standard","Number of meters
(thousands):
Domestic E7 
","Number of meters
(thousands):
All Domestic
","Number of meters
(thousands):
All Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic Standard","Total consumption
(GWh):
Domestic E7","Total consumption
(GWh):
All Domestic
","Total consumption
(GWh):
All Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic Standard","Mean consumption
(kWh per meter):
Domestic E7","Mean consumption
(kWh per meter):
All Domestic
","Mean consumption
(kWh per meter):
All Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic Standard","Median consumption
(kWh per meter):
Domestic E7","Median consumption
(kWh per meter):
All Domestic
","Median consumption
(kWh per meter):
All Non-Domestic","Median consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
Unallocated England and Wales,England and Wales (unallocated),Unallocated,15.0,1.5,16.5,19.1,35.6,57.3,8.7,65.9,"3,715.2","3,781.2","3,810.1","5,707.4","3,984.0","194,985.1","106,215.4","2,395.2","4,509.0","2,519.2","7,593.4","3,281.5",
Unallocated Scotland,Scotland (unallocated),Unallocated,5.0,0.2,5.2,2.8,8.0,14.4,0.8,15.2,378.3,393.5,"2,859.8","4,772.9","2,921.9","136,800.5","49,356.2","2,246.9","4,129.3","2,274.2","4,842.9","2,466.9",
E06000001,North East,Hartlepool,41.2,2.0,43.2,3.1,46.3,128.7,8.9,137.5,295.9,433.5,"3,123.1","4,360.6","3,181.3","96,766.4","9,363.4","2,719.9","3,147.9","2,731.9","5,735.7","2,775.4","3,336.6"
E06000002,North East,Middlesbrough,58.5,3.7,62.3,4.2,66.5,182.8,15.1,197.9,272.8,470.7,"3,124.3","4,037.6","3,179.2","64,404.2","7,078.9","2,733.1","3,009.4","2,744.3","8,768.0","2,808.7","3,464.2"
E06000003,North East,Redcar and Cleveland,60.5,3.6,64.1,3.8,67.9,189.0,15.9,204.9,643.2,848.2,"3,122.6","4,444.2","3,196.2","169,899.7","12,491.5","2,733.2","3,316.1","2,750.7","8,084.7","2,797.5","3,368.8"
E06000004,North East,Stockton-on-Tees,81.8,4.0,85.8,5.4,91.3,266.7,18.3,284.9,998.2,"1,283.1","3,259.7","4,524.1","3,319.1","183,664.0","14,057.2","2,841.5","3,301.2","2,854.2","9,192.2","2,916.0","3,512.3"
E06000005,North East,Darlington,46.7,3.5,50.2,3.7,53.9,152.0,17.4,169.4,238.6,408.0,"3,258.3","4,938.1","3,376.0","64,785.5","7,575.2","2,791.5","3,615.7","2,820.4","7,701.7","2,880.7","3,574.2"
E06000047,North East,County Durham,232.8,8.8,241.6,15.9,257.5,730.8,48.5,779.3,"1,109.7","1,889.0","3,139.5","5,498.6","3,225.7","69,621.5","7,335.1","2,704.1","4,016.8","2,723.8","7,598.7","2,780.5","3,399.3"
E06000057,North East,Northumberland,140.6,13.5,154.1,13.8,167.9,483.1,77.6,560.8,894.5,"1,455.2","3,436.0","5,771.8","3,640.0","64,682.1","8,668.2","2,859.5","4,216.3","2,913.3","7,254.0","2,997.1","3,973.7"
E08000021,North East,Newcastle upon Tyne,115.7,11.6,127.3,10.0,137.3,358.2,58.8,417.0,799.0,"1,216.0","3,095.7","5,068.2","3,275.5","79,705.4","8,854.9","2,613.5","4,168.3","2,680.9","8,250.8","2,752.5","3,438.1"
E08000022,North East,North Tyneside,92.4,5.7,98.0,5.7,103.7,278.3,26.3,304.5,431.5,736.1,"3,012.9","4,637.9","3,106.8","75,756.7","7,096.5","2,627.9","3,646.9","2,653.6","7,620.7","2,703.0","3,274.0"
E08000023,North East,South Tyneside,69.7,1.9,71.6,4.0,75.5,204.1,9.2,213.3,202.4,415.6,"2,929.2","4,825.0","2,979.6","51,207.0","5,503.2","2,569.4","3,993.9","2,585.8","7,427.5","2,630.1","3,123.9"
E08000024,North East,Sunderland,123.0,5.2,128.2,8.1,136.3,378.1,23.9,402.0,819.6,"1,221.5","3,074.8","4,553.4","3,135.3","101,445.6","8,963.2","2,681.8","3,499.2","2,697.3","8,158.4","2,752.5","3,321.1"
E08000037,North East,Gateshead,88.3,5.4,93.7,6.3,100.0,268.8,25.9,294.7,540.5,835.2,"3,043.2","4,821.6","3,145.1","85,197.8","8,348.4","2,652.8","3,932.1","2,684.2","9,643.3","2,753.6","3,282.8"
