"Subnational electricity consumption, Great Britain, 2015",,,,,,,,,,,,,,,,,,,,,,,
"This table shows the electricity consumption and the number of electric meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,,,,,,,,,,,,
Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic Standard","Number of meters
(thousands):
Domestic E7 
","Number of meters
(thousands):
All Domestic
","Number of meters
(thousands):
All Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic Standard","Total consumption
(GWh):
Domestic E7","Total consumption
(GWh):
All Domestic
","Total consumption
(GWh):
All Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic Standard","Mean consumption
(kWh per meter):
Domestic E7","Mean consumption
(kWh per meter):
All Domestic
","Mean consumption
(kWh per meter):
All Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic Standard","Median consumption
(kWh per meter):
Domestic E7","Median consumption
(kWh per meter):
All Domestic
","Median consumption
(kWh per meter):
All Non-Domestic","Median consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
K03000001,Great Britain (inc unallocated),All local authorities,"23,277.7","4,488.4","27,766.1","2,457.9","30,224.0","84,186.2","23,669.8","107,855.9","178,783.6","286,639.6","3,616.6","5,273.5","3,884.4","72,738.9","9,483.8","3,021.7","4,073.5","3,138.3","8,333.5","3,219.1","4,078.7"
K04000001,England and Wales (inc unallocated),All local authorities,"20,930.5","4,038.4","24,968.8","2,233.1","27,201.9","75,860.6","21,306.1","97,166.6","163,203.4","260,370.0","3,624.4","5,275.9","3,891.5","73,084.4","9,571.8","3,026.8","4,079.4","3,147.0","8,246.1","3,227.2","4,046.3"
E92000001,England,All local authorities,"19,626.6","3,936.0","23,562.6","2,086.7","25,649.3","71,332.5","20,649.2","91,981.7","149,107.2","241,088.9","3,634.5","5,246.2","3,903.7","71,456.3","9,399.4","3,029.6","4,061.8","3,152.6","8,291.6","3,232.3","4,055.4"
E12000001,North East,All local authorities,"1,141.3",72.2,"1,213.6",83.2,"1,296.8","3,707.2",367.9,"4,075.1","7,803.7","11,878.8","3,248.1","5,092.7","3,357.9","93,822.7","9,160.3","2,816.7","3,872.8","2,846.0","8,736.7","2,908.6","3,562.9"
E12000002,North West,All local authorities,"2,905.3",232.7,"3,138.0",242.2,"3,380.1","10,341.4","1,370.6","11,712.0","19,869.0","31,581.0","3,559.5","5,890.8","3,732.3","82,043.0","9,343.1","3,063.8","4,714.9","3,129.7","9,489.7","3,210.8","3,826.7"
E12000003,Yorkshire and The Humber,All local authorities,"2,174.5",176.5,"2,351.0",184.0,"2,535.0","7,514.8",963.4,"8,478.2","14,917.9","23,396.1","3,455.8","5,458.5","3,606.2","81,075.5","9,229.2","2,927.5","4,217.1","2,978.7","9,395.1","3,059.5","3,748.7"
E12000004,East Midlands,All local authorities,"1,324.0",710.3,"2,034.3",163.7,"2,198.0","4,637.1","3,187.8","7,824.9","13,154.9","20,979.8","3,502.3","4,488.2","3,846.5","80,358.9","9,545.0","2,965.3","3,510.7","3,137.5","9,924.3","3,223.2","4,018.4"
E12000005,West Midlands,All local authorities,"2,004.2",405.6,"2,409.8",200.3,"2,610.1","7,345.6","2,093.3","9,438.9","15,148.3","24,587.2","3,665.1","5,161.1","3,916.9","75,623.5","9,419.9","3,121.2","4,002.9","3,230.3","9,106.9","3,311.0","4,026.2"
E12000006,East,All local authorities,"1,819.0",793.1,"2,612.1",223.2,"2,835.3","6,931.7","4,101.3","11,032.9","15,577.2","26,610.2","3,810.8","5,170.9","4,223.8","69,795.8","9,385.3","3,155.7","3,969.8","3,357.3","9,053.4","3,440.1","4,402.5"
E12000007,London,All local authorities,"3,034.7",465.2,"3,499.9",400.3,"3,900.2","10,712.2","2,313.9","13,026.1","26,404.7","39,430.8","3,529.9","4,974.2","3,721.9","65,961.8","10,110.0","2,798.7","3,963.8","2,908.9","6,395.6","2,983.7","3,819.0"
