"Subnational electricity consumption, Great Britain, 2018",,,,,,,,,,,,,,,,,,,,,,,
"This table shows the electricity consumption and the number of electric meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,,,,,,,,,,,,
Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic Standard","Number of meters
(thousands):
Domestic E7 
","Number of meters
(thousands):
All Domestic
","Number of meters
(thousands):
All Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic Standard","Total consumption
(GWh):
Domestic E7","Total consumption
(GWh):
All Domestic
","Total consumption
(GWh):
All Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic Standard","Mean consumption
(kWh per meter):
Domestic E7","Mean consumption
(kWh per meter):
All Domestic
","Mean consumption
(kWh per meter):
All Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic Standard","Median consumption
(kWh per meter):
Domestic E7","Median consumption
(kWh per meter):
All Domestic
","Median consumption
(kWh per meter):
All Non-Domestic","Median consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
K03000001,Great Britain (inc unallocated),All local authorities,"24,399.6","4,078.3","28,477.8","2,558.5","31,036.4","82,221.0","20,828.9","103,049.9","173,734.9","276,784.8","3,369.8","5,107.3","3,618.6","67,904.6","8,918.1","2,745.4","3,852.6","2,847.9","7,357.1","2,925.4","3,811.0"
K04000001,England and Wales (inc unallocated),All local authorities,"21,982.6","3,671.5","25,654.0","2,328.1","27,982.1","74,446.3","18,886.7","93,333.1","158,843.2","252,176.3","3,386.6","5,144.2","3,638.1","68,229.2","9,012.0","2,755.8","3,877.5","2,862.8","7,286.9","2,940.1","3,799.7"
E92000001,England,All local authorities,"20,634.9","3,576.1","24,211.0","2,177.3","26,388.3","70,084.9","18,304.5","88,389.4","145,337.1","233,726.5","3,396.4","5,118.5","3,650.8","66,752.1","8,857.2","2,758.1","3,860.7","2,867.9","7,323.2","2,944.7","3,809.2"
E12000001,North East,All local authorities,"1,170.5",64.0,"1,234.6",87.4,"1,322.0","3,462.0",306.2,"3,768.2","7,405.3","11,173.5","2,957.7","4,781.7","3,052.3","84,683.1","8,451.9","2,520.0","3,567.7","2,544.9","7,695.8","2,607.3","3,234.3"
E12000002,North West,All local authorities,"3,036.4",222.8,"3,259.2",251.5,"3,510.7","9,952.2","1,248.2","11,200.4","19,146.1","30,346.5","3,277.6","5,603.1","3,436.6","76,131.9","8,644.0","2,758.1","4,436.9","2,817.0","8,411.1","2,892.4","3,589.1"
E12000003,Yorkshire and The Humber,All local authorities,"2,249.4",160.9,"2,410.3",196.1,"2,606.4","7,257.6",859.3,"8,116.8","14,663.0","22,779.9","3,226.5","5,340.1","3,367.6","74,771.2","8,740.0","2,667.6","4,085.9","2,714.3","7,954.0","2,794.4","3,520.0"
E12000004,East Midlands,All local authorities,"1,449.8",626.5,"2,076.3",171.8,"2,248.1","4,806.7","2,750.3","7,557.0","13,018.1","20,575.1","3,315.4","4,389.7","3,639.6","75,761.3","9,152.0","2,733.6","3,294.4","2,881.1","8,586.7","2,965.4","3,774.7"
E12000005,West Midlands,All local authorities,"2,103.0",368.7,"2,471.7",212.4,"2,684.1","7,213.0","1,848.2","9,061.2","14,838.1","23,899.3","3,429.9","5,012.4","3,666.0","69,863.2","8,904.1","2,850.0","3,780.8","2,945.7","7,794.7","3,025.8","3,770.6"
E12000006,East,All local authorities,"1,967.0",708.7,"2,675.7",231.9,"2,907.6","7,048.6","3,609.9","10,658.5","15,319.9","25,978.3","3,583.4","5,093.5","3,983.4","66,062.3","8,934.6","2,887.7","3,781.3","3,067.8","8,098.9","3,148.3","4,163.7"
E12000007,London,All local authorities,"3,166.0",435.0,"3,601.0",413.1,"4,014.1","10,478.2","2,116.6","12,594.8","25,451.2","38,046.0","3,309.6","4,865.2","3,497.6","61,617.7","9,478.2","2,560.1","3,783.3","2,658.5","5,615.2","2,731.3","3,603.7"
E13000001,Inner London,All local authorities,"1,402.8",136.5,"1,539.3",239.9,"1,779.2","4,369.4",700.6,"5,070.1","15,846.9","20,917.0","3,114.8","5,131.6","3,293.7","66,062.3","11,756.4","2,282.9","3,997.8","2,364.8","5,237.7","2,453.7","3,406.7"
E13000002,Outer London,All local authorities,"1,763.2",298.5,"2,061.7",173.2,"2,234.9","6,108.8","1,415.9","7,524.7","9,604.3","17,129.0","3,464.6","4,743.4","3,649.8","55,461.1","7,664.5","2,788.6","3,701.8","2,882.6","6,194.8","2,941.1","3,749.8"
