"Subnational gas consumption, Great Britain, 2012",,,,,,,,,,,,,,,
"This table shows the gas consumption and the number of gas meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,,,,
"Cells in the ""Notes"" columns have been left blank where there is no note for the given row.",,,,,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,,,,
Code,Country or region,Local authority,Notes,"Number of meters
(thousands):
Domestic
","Number of meters
(thousands):
Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic
","Total consumption
(GWh):
Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic
","Mean consumption
(kWh per meter):
Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic
","Median consumption
(kWh per meter):
Non-Domestic","Median consumption
(kWh per meter):
All meters"
E06000057,North East,Northumberland,,116.2,1.3,117.6,"1,730","1,053","2,783","14,882","807,429","23,674","13,496","141,313","13,590"
E06000003,North East,Redcar and Cleveland,[note 1],58.5,0.4,58.9,814,491,"1,306","13,932","1,118,745","22,167","13,153","154,785","13,208"
E06000004,North East,Stockton-on-Tees,[note 1],79.2,0.7,79.9,"1,141",761,"1,902","14,406","1,031,597","23,799","13,476","181,384","13,549"
E08000037,North East,Gateshead,,86.4,1.0,87.4,"1,244",781,"2,025","14,401","796,618","23,185","13,401","164,187","13,494"
E08000021,North East,Newcastle upon Tyne,,109.0,1.8,110.8,"1,592","1,237","2,829","14,606","698,771","25,539","13,131","165,741","13,285"
E08000022,North East,North Tyneside,,89.8,0.9,90.6,"1,295",575,"1,871","14,432","662,063","20,641","13,321","166,370","13,397"
E08000023,North East,South Tyneside,,67.5,0.6,68.2,915,246,"1,161","13,549","393,735","17,041","12,568","158,710","12,645"
E08000024,North East,Sunderland,,118.8,1.2,120.1,"1,748",842,"2,590","14,708","683,470","21,569","13,807","178,017","13,895"
E06000008,North West,Blackburn with Darwen,[note 1],57.3,0.8,58.1,842,411,"1,253","14,706","503,021","21,573","13,470","153,643","13,605"
E06000009,North West,Blackpool,,62.7,0.8,63.5,850,376,"1,226","13,554","473,749","19,310","12,256","149,761","12,375"
E06000049,North West,Cheshire East,[note 1],143.4,1.8,145.2,"2,261","1,877","4,139","15,766","1,067,171","28,504","14,102","132,048","14,222"
E06000050,North West,Cheshire West and Chester,[note 1],131.3,1.3,132.6,"1,848","1,703","3,551","14,076","1,268,419","26,779","12,799","151,307","12,880"
E06000006,North West,Halton,[note 1],52.6,0.5,53.1,660,513,"1,172","12,542","1,025,622","22,083","11,607","183,315","11,680"
E06000007,North West,Warrington,,85.5,0.9,86.4,"1,195","1,051","2,246","13,972","1,175,551","25,987","12,785","160,094","12,867"
E07000026,North West,Allerdale,[note 1],36.5,0.5,37.0,526,581,"1,106","14,384","1,290,638","29,910","13,128","144,522","13,227"
E07000027,North West,Barrow-in-Furness,[note 1],31.9,0.3,32.2,389,498,887,"12,174","1,665,607","27,515","11,351","158,711","11,414"
E07000028,North West,Carlisle,,41.7,0.5,42.3,581,551,"1,133","13,919","1,017,447","26,781","12,671","147,933","12,780"
E07000029,North West,Copeland,[note 1],28.3,0.2,28.5,402,88,490,"14,197","366,567","17,161","13,122","151,612","13,196"
E07000030,North West,Eden,[note 1],10.4,0.1,10.6,155,352,507,"14,846","2,363,054","47,991","13,112","171,978","13,266"
E07000031,North West,South Lakeland,,39.1,0.8,39.8,584,773,"1,358","14,957","1,009,533","34,086","13,173","130,523","13,371"
E08000001,North West,Bolton,,114.3,1.3,115.6,"1,622",538,"2,161","14,197","423,760","18,698","12,893","153,879","12,990"
E08000002,North West,Bury,,77.8,0.8,78.6,"1,171",465,"1,636","15,065","580,702","20,825","13,642","149,679","13,743"
E08000003,North West,Manchester,[note 1],179.5,2.6,182.1,"2,226","1,783","4,009","12,405","682,022","22,019","11,053","192,856","11,175"
E08000004,North West,Oldham ,,88.7,1.0,89.7,"1,277",434,"1,711","14,397","418,706","19,069","13,170","164,000","13,273"
E08000005,North West,Rochdale,,86.7,1.0,87.7,"1,207",508,"1,714","13,915","530,005","19,554","12,638","160,265","12,738"
E08000006,North West,Salford,,93.9,1.2,95.0,"1,225",568,"1,794","13,056","489,130","18,878","11,755","168,344","11,862"
E08000007,North West,Stockport,,117.7,1.2,118.9,"1,870",662,"2,532","15,890","531,961","21,293","14,399","149,136","14,499"
E08000008,North West,Tameside,,95.4,0.9,96.2,"1,284",538,"1,822","13,460","632,756","18,936","12,400","164,105","12,478"
E08000009,North West,Trafford,,90.7,1.4,92.1,"1,478","2,666","4,144","16,286","1,960,093","44,988","14,673","135,269","14,815"
E08000010,North West,Wigan,,134.0,1.0,135.0,"1,757",916,"2,673","13,108","913,600","19,796","12,280","157,685","12,336"
E07000117,North West,Burnley,,39.0,0.4,39.4,538,181,719,"13,799","402,916","18,228","12,814","164,537","12,926"
E07000118,North West,Chorley,[note 1],44.2,0.4,44.6,646,214,860,"14,604","536,947","19,273","13,374","144,546","13,453"
E07000119,North West,Fylde,,31.8,0.4,32.3,504,203,708,"15,835","464,028","21,917","14,195","143,579","14,323"
E07000120,North West,Hyndburn,,35.2,0.4,35.6,492,190,682,"13,978","471,240","19,157","13,020","153,097","13,119"
E07000121,North West,Lancaster,,53.4,0.6,54.0,741,442,"1,183","13,889","720,046","21,922","12,637","157,790","12,736"
E07000122,North West,Pendle,,38.1,0.5,38.6,556,266,822,"14,591","590,647","21,311","13,331","151,907","13,448"
E07000123,North West,Preston,,54.2,0.8,55.0,752,419,"1,170","13,860","549,345","21,280","12,370","172,751","12,498"
E07000124,North West,Ribble Valley,,20.1,0.3,20.4,337,225,562,"16,744","803,847","27,537","15,190","127,118","15,337"
E07000125,North West,Rossendale,,29.7,0.4,30.1,468,301,769,"15,744","848,208","25,566","14,322","147,484","14,440"
E07000126,North West,South Ribble,,45.3,0.4,45.8,645,310,956,"14,234","728,290","20,880","13,206","152,303","13,284"
E07000127,North West,West Lancashire,[note 1],41.1,0.5,41.5,630,428,"1,058","15,337","926,487","25,477","13,808","142,378","13,902"
E07000128,North West,Wyre,,44.3,0.4,44.7,649,408,"1,057","14,658","1,099,151","23,668","13,568","156,824","13,639"
E08000011,North West,Knowsley ,,62.1,0.4,62.5,767,659,"1,426","12,360","1,486,768","22,808","11,672","204,706","11,723"
E08000012,North West,Liverpool,,192.6,2.2,194.8,"2,417","1,802","4,220","12,553","826,026","21,667","11,382","180,728","11,483"
E08000014,North West,Sefton,[note 1],117.3,1.2,118.4,"1,712",424,"2,135","14,598","355,234","18,029","13,277","144,433","13,377"
E08000013,North West,St. Helens,[note 1],77.4,0.7,78.0,"1,019","1,060","2,079","13,169","1,623,889","26,648","12,273","153,453","12,342"
E08000015,North West,Wirral,,138.6,1.2,139.8,"1,962",852,"2,814","14,158","693,814","20,127","12,812","143,840","12,899"
E06000011,Yorkshire and The Humber,East Riding of Yorkshire,[note 1],126.5,1.2,127.7,"1,897","1,306","3,202","14,996","1,084,364","25,079","13,703","139,524","13,784"
E06000010,Yorkshire and The Humber,"Kingston upon Hull, City of",[note 1],109.9,1.2,111.2,"1,352","1,064","2,416","12,305","855,784","21,737","11,391","176,027","11,470"
E06000012,Yorkshire and The Humber,North East Lincolnshire,[note 1],68.6,0.6,69.3,887,"2,457","3,344","12,918","3,894,353","48,274","12,115","172,300","12,189"
E06000013,Yorkshire and The Humber,North Lincolnshire,[note 1],65.3,0.6,65.9,917,722,"1,639","14,044","1,209,043","24,867","13,031","156,075","13,112"
E06000014,Yorkshire and The Humber,York,,77.8,1.2,78.9,"1,143",630,"1,773","14,692","538,929","22,455","13,451","150,849","13,569"
E07000163,Yorkshire and The Humber,Craven,,20.5,0.3,20.9,320,120,440,"15,570","386,702","21,088","13,979","131,110","14,112"
E07000164,Yorkshire and The Humber,Hambleton,,23.7,0.3,24.0,362,272,633,"15,289","966,249","26,445","13,913","151,321","14,011"
E07000165,Yorkshire and The Humber,Harrogate,,56.5,1.0,57.4,949,518,"1,467","16,810","526,580","25,542","14,712","126,567","14,890"
E07000166,Yorkshire and The Humber,Richmondshire,,12.1,0.2,12.4,191,144,335,"15,700","648,410","27,062","14,452","174,265","14,590"
E07000167,Yorkshire and The Humber,Ryedale,,13.0,0.2,13.1,190,258,448,"14,671","1,440,878","34,086","12,952","112,263","13,072"
E07000168,Yorkshire and The Humber,Scarborough,,45.9,0.6,46.4,645,432,"1,077","14,061","744,198","23,194","12,585","142,663","12,710"
E07000169,Yorkshire and The Humber,Selby,,26.1,0.2,26.4,382,977,"1,358","14,594","4,460,547","51,527","13,432","134,352","13,496"
E08000016,Yorkshire and The Humber,Barnsley,,101.2,0.8,101.9,"1,391","1,037","2,428","13,749","1,379,102","23,823","12,910","154,015","12,970"
E08000017,Yorkshire and The Humber,Doncaster,,124.8,1.1,125.9,"1,738","1,090","2,828","13,922","1,025,316","22,462","13,096","160,570","13,159"
E08000018,Yorkshire and The Humber,Rotherham ,[note 1],109.6,1.1,110.6,"1,522","1,212","2,734","13,888","1,141,562","24,711","13,030","164,409","13,104"
E08000019,Yorkshire and The Humber,Sheffield,[note 1],219.9,2.6,222.5,"3,160","2,184","5,345","14,373","834,039","24,021","13,112","162,444","13,215"
E08000032,Yorkshire and The Humber,Bradford ,,195.2,2.7,197.9,"3,133","1,986","5,118","16,048","745,989","25,869","14,585","151,105","14,717"
E08000033,Yorkshire and The Humber,Calderdale,,87.0,1.3,88.3,"1,338",686,"2,025","15,379","538,696","22,929","13,800","136,709","13,945"
E08000034,Yorkshire and The Humber,Kirklees ,[note 1],171.7,2.1,173.7,"2,632","1,050","3,682","15,331","505,822","21,192","13,823","141,440","13,943"
E08000035,Yorkshire and The Humber,Leeds ,[note 1],300.9,3.8,304.8,"4,403","2,426","6,829","14,633","634,328","22,409","13,168","160,928","13,286"
E08000036,Yorkshire and The Humber,Wakefield,[note 1],138.1,1.4,139.5,"1,929","1,615","3,543","13,966","1,129,182","25,397","12,921","155,002","13,001"
E06000015,East Midlands,Derby,[note 1],101.2,1.0,102.1,"1,357",726,"2,083","13,411","747,602","20,391","12,379","170,583","12,463"
E06000016,East Midlands,Leicester,,117.4,1.8,119.1,"1,672","1,374","3,046","14,244","778,657","25,571","12,944","168,127","13,071"
E06000018,East Midlands,Nottingham,,115.3,1.6,116.9,"1,493","1,195","2,688","12,955","730,177","22,999","11,643","165,958","11,766"
E06000017,East Midlands,Rutland,,12.4,0.2,12.6,203,75,278,"16,354","389,100","22,063","14,632","151,696","14,802"
E07000032,East Midlands,Amber Valley,,51.3,0.5,51.8,761,364,"1,124","14,830","710,429","21,706","13,760","153,749","13,839"
E07000033,East Midlands,Bolsover,,31.7,0.3,31.9,448,183,631,"14,146","694,964","19,775","13,467","196,707","13,530"
E07000034,East Midlands,Chesterfield,,46.4,0.5,46.9,627,362,990,"13,523","682,411","21,091","12,698","158,870","12,796"
E07000035,East Midlands,Derbyshire Dales,,25.4,0.4,25.8,415,298,713,"16,368","680,024","27,633","14,346","125,280","14,521"
E07000036,East Midlands,Erewash,,48.5,0.5,48.9,674,151,825,"13,903","333,291","16,867","12,871","159,618","12,943"
E07000037,East Midlands,High Peak,[note 1],37.5,0.5,37.9,592,267,858,"15,794","569,609","22,627","14,208","146,267","14,345"
E07000038,East Midlands,North East Derbyshire,,41.3,0.3,41.7,632,236,868,"15,290","691,446","20,822","14,273","146,000","14,338"
E07000039,East Midlands,South Derbyshire,,35.1,0.3,35.4,505,445,950,"14,376","1,550,614","26,826","13,276","135,850","13,329"
E07000129,East Midlands,Blaby,,37.8,0.4,38.2,577,173,750,"15,258","447,194","19,632","14,185","153,910","14,272"
E07000130,East Midlands,Charnwood,,66.0,0.8,66.7,976,585,"1,561","14,794","751,484","23,381","13,489","149,409","13,567"
E07000131,East Midlands,Harborough,,29.9,0.4,30.3,491,180,672,"16,425","473,690","22,175","14,841","126,842","14,967"
E07000132,East Midlands,Hinckley and Bosworth,,42.6,0.4,43.0,620,234,854,"14,533","612,674","19,844","13,392","148,848","13,461"
E07000133,East Midlands,Melton,,17.6,0.2,17.8,260,224,484,"14,753","1,165,544","27,141","13,468","134,625","13,546"
E07000134,East Midlands,North West Leicestershire,,34.5,0.4,34.9,530,495,"1,025","15,363","1,218,689","29,364","14,290","168,075","14,390"
E07000135,East Midlands,Oadby and Wigston,,22.1,0.3,22.4,349,121,470,"15,785","369,612","20,956","14,488","143,141","14,611"
E07000136,East Midlands,Boston,,21.3,0.2,21.5,291,70,361,"13,660","340,932","16,794","12,470","149,757","12,544"
E07000137,East Midlands,East Lindsey,,38.5,0.5,38.9,528,202,730,"13,726","435,650","18,754","12,252","146,396","12,354"
E07000138,East Midlands,Lincoln,[note 1],40.1,0.5,40.6,501,335,836,"12,501","676,259","20,602","11,301","180,000","11,391"
E07000139,East Midlands,North Kesteven,,35.6,0.3,35.8,504,205,709,"14,180","781,109","19,788","13,209","161,778","13,265"
E07000140,East Midlands,South Holland,[note 1],27.1,0.2,27.3,382,244,625,"14,086","1,123,142","22,896","12,980","132,250","13,047"
E07000141,East Midlands,South Kesteven,,45.9,0.5,46.4,641,383,"1,023","13,952","833,944","22,068","12,833","154,153","12,911"
E07000142,East Midlands,West Lindsey,,29.9,0.3,30.2,429,154,583,"14,339","583,860","19,299","13,292","151,042","13,373"
E07000150,East Midlands,Corby,[note 1],25.9,0.3,26.2,349,886,"1,235","13,479","2,621,515","47,063","12,840","212,573","12,933"
E07000151,East Midlands,Daventry,,23.2,0.3,23.5,350,184,534,"15,067","579,539","22,697","13,302","139,897","13,421"
E07000152,East Midlands,East Northamptonshire,,31.3,0.3,31.6,443,110,553,"14,150","376,088","17,496","12,997","151,424","13,064"
E07000153,East Midlands,Kettering,,38.1,0.4,38.5,529,417,946,"13,880","1,099,369","24,568","12,821","147,479","12,901"
E07000154,East Midlands,Northampton,,86.8,1.0,87.8,"1,140",688,"1,828","13,126","684,273","20,814","12,032","172,076","12,110"
E07000155,East Midlands,South Northamptonshire,,27.1,0.2,27.3,419,85,503,"15,453","375,678","18,421","14,120","120,140","14,181"
E07000156,East Midlands,Wellingborough,,31.6,0.4,32.0,426,161,587,"13,509","417,059","18,384","12,421","165,043","12,508"
E07000170,East Midlands,Ashfield,,50.8,0.5,51.3,722,297,"1,019","14,218","619,417","19,872","13,485","177,054","13,543"
E07000171,East Midlands,Bassetlaw,[note 1],40.4,0.4,40.8,571,270,841,"14,112","718,169","20,600","13,081","152,124","13,160"
E07000172,East Midlands,Broxtowe,,47.2,0.4,47.5,699,197,896,"14,827","524,744","18,860","13,820","147,797","13,882"
E07000173,East Midlands,Gedling,,47.6,0.4,47.9,736,366,"1,102","15,475","1,021,650","22,992","14,380","149,112","14,448"
E07000174,East Midlands,Mansfield,,45.2,0.4,45.6,663,126,789,"14,669","319,179","17,308","13,911","164,021","13,981"
E07000175,East Midlands,Newark and Sherwood,,43.2,0.4,43.6,639,787,"1,426","14,807","1,771,762","32,686","13,537","145,352","13,624"
E07000176,East Midlands,Rushcliffe,,43.3,0.4,43.7,727,488,"1,215","16,780","1,172,858","27,780","15,231","131,712","15,332"
E06000019,West Midlands,"Herefordshire, County of",,49.6,0.6,50.2,615,532,"1,147","12,405","867,564","22,847","10,891","147,853","10,977"
E06000051,West Midlands,Shropshire,,86.7,1.0,87.7,"1,145",688,"1,834","13,212","706,069","20,917","11,839","151,161","11,929"
E06000021,West Midlands,Stoke-on-Trent,[note 1],107.4,1.1,108.5,"1,401",953,"2,354","13,046","866,857","21,694","12,225","171,991","12,306"
E06000020,West Midlands,Telford and Wrekin,,65.9,0.7,66.6,851,572,"1,423","12,925","765,543","21,364","11,879","181,916","11,967"
E07000192,West Midlands,Cannock Chase,,39.2,0.3,39.5,567,212,779,"14,462","666,101","19,707","13,647","169,094","13,712"
E07000193,West Midlands,East Staffordshire,,41.7,0.5,42.2,581,572,"1,153","13,916","1,202,646","27,320","12,748","156,158","12,836"
E07000194,West Midlands,Lichfield,,38.3,0.4,38.8,603,182,786,"15,738","414,508","20,263","14,240","132,783","14,334"
E07000195,West Midlands,Newcastle-under-Lyme,,50.0,0.5,50.4,731,452,"1,183","14,621","991,298","23,452","13,589","153,932","13,659"
E07000196,West Midlands,South Staffordshire,,40.1,0.3,40.4,619,318,938,"15,454","1,026,815","23,215","14,256","163,058","14,317"
E07000197,West Midlands,Stafford,,46.7,0.5,47.2,692,335,"1,027","14,813","672,418","21,745","13,653","157,573","13,745"
E07000198,West Midlands,Staffordshire Moorlands,,35.3,0.3,35.6,544,242,786,"15,439","768,001","22,105","14,398","137,507","14,471"
E07000199,West Midlands,Tamworth,,29.6,0.3,29.9,390,157,547,"13,175","542,577","18,315","12,328","160,521","12,390"
E07000218,West Midlands,North Warwickshire,,23.0,0.3,23.3,336,324,661,"14,599","1,070,018","28,299","13,576","157,770","13,684"
E07000219,West Midlands,Nuneaton and Bedworth,,50.4,0.5,50.9,687,223,910,"13,630","450,070","17,883","12,964","168,484","13,026"
E07000220,West Midlands,Rugby,,38.4,0.4,38.8,556,364,920,"14,472","843,448","23,690","13,268","160,674","13,349"
E07000221,West Midlands,Stratford-on-Avon,,35.7,0.5,36.2,527,193,720,"14,739","394,468","19,865","12,978","144,688","13,094"
E07000222,West Midlands,Warwick,,51.1,0.7,51.8,749,270,"1,019","14,664","379,451","19,672","13,045","149,385","13,174"
E08000025,West Midlands,Birmingham,[note 1],385.3,5.2,390.5,"5,569","3,494","9,063","14,453","677,090","23,210","13,140","166,372","13,274"
E08000026,West Midlands,Coventry,,125.7,1.3,127.0,"1,644",965,"2,609","13,082","756,302","20,553","12,173","179,059","12,257"
E08000027,West Midlands,Dudley ,,129.1,1.4,130.5,"1,799",659,"2,458","13,935","481,366","18,839","13,014","169,012","13,101"
E08000028,West Midlands,Sandwell ,,121.8,1.4,123.2,"1,609","1,001","2,611","13,213","734,209","21,199","12,365","174,362","12,457"
E08000029,West Midlands,Solihull,,81.3,0.9,82.2,"1,287",790,"2,077","15,825","906,476","25,275","14,360","167,093","14,465"
E08000030,West Midlands,Walsall,,104.1,1.1,105.2,"1,480",682,"2,162","14,219","615,752","20,555","13,139","164,843","13,232"
E08000031,West Midlands,Wolverhampton,,96.9,1.3,98.2,"1,378",663,"2,042","14,222","523,610","20,795","13,054","171,592","13,181"
