"Subnational electricity consumption, Great Britain, 2013",,,,,,,,,,,,,,,,,,,,,,,
"This table shows the electricity consumption and the number of electric meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,,,,,,,,,,,,
Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic Standard","Number of meters
(thousands):
Domestic E7 
","Number of meters
(thousands):
All Domestic
","Number of meters
(thousands):
All Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic Standard","Total consumption
(GWh):
Domestic E7","Total consumption
(GWh):
All Domestic
","Total consumption
(GWh):
All Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic Standard","Mean consumption
(kWh per meter):
Domestic E7","Mean consumption
(kWh per meter):
All Domestic
","Mean consumption
(kWh per meter):
All Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic Standard","Median consumption
(kWh per meter):
Domestic E7","Median consumption
(kWh per meter):
All Domestic
","Median consumption
(kWh per meter):
All Non-Domestic","Median consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
K03000001,Great Britain,All local authorities,"22,810.8","4,710.3","27,521.1","2,404","29,925","83,576","24,844","108,420","181,556","289,976","3,664","5,274","3,940","75,520","9,690","3,080","4,131","3,206","8,374","3,285","4,168"
E92000001,England,All local authorities,"19,190.6","4,129.2","23,319.9","2,043","25,363","70,754","21,654","92,408","151,232","243,640","3,687","5,244","3,963","74,037","9,606","3,089","4,109","3,221","8,320","3,299","4,145"
E12000001,North East,All local authorities,"1,122.5",76.5,"1,199.0",81,"1,280","3,711",391,"4,102","7,767","11,869","3,306","5,111","3,421","96,330","9,276","2,883","3,991","2,917","8,951","2,978","3,619"
E12000002,North West,All local authorities,"2,903.4",249.3,"3,152.8",236,"3,389","10,498","1,479","11,977","20,191","32,168","3,616","5,931","3,799","85,396","9,491","3,124","4,810","3,199","9,639","3,279","3,962"
E12000003,Yorkshire and The Humber,All local authorities,"2,161.1",187.3,"2,348.4",179,"2,528","7,574","1,029","8,603","15,083","23,686","3,505","5,492","3,663","84,154","9,371","2,982","4,305","3,040","9,223","3,117","3,847"
E12000004,East Midlands,All local authorities,"1,256.2",746.7,"2,002.9",159,"2,162","4,430","3,341","7,770","13,342","21,113","3,526","4,474","3,880","84,092","9,767","3,002","3,540","3,184","10,086","3,268","4,063"
E12000005,West Midlands,All local authorities,"1,963.2",425.0,"2,388.2",196,"2,584","7,293","2,201","9,494","14,997","24,492","3,715","5,179","3,975","76,661","9,479","3,181","4,082","3,299","9,009","3,377","4,108"
E12000006,East,All local authorities,"1,739.9",834.1,"2,574.0",217,"2,791","6,682","4,274","10,956","15,800","26,756","3,840","5,125","4,257","72,864","9,587","3,207","3,985","3,416","9,250","3,499","4,463"
E12000007,London,All local authorities,"2,957.3",482.6,"3,439.9",397,"3,837","10,685","2,417","13,102","27,376","40,478","3,613","5,008","3,809","68,998","10,550","2,874","4,010","2,989","6,404","3,062","3,942"
E12000008,South East,All local authorities,"3,018.5",736.5,"3,755.0",331,"4,086","12,060","3,998","16,058","22,744","38,802","3,995","5,429","4,277","68,782","9,497","3,290","4,310","3,441","8,213","3,515","4,457"
E12000009,South West,All local authorities,"2,068.5",391.2,"2,459.7",248,"2,707","7,821","2,524","10,346","13,931","24,277","3,781","6,452","4,206","56,225","8,967","3,165","5,448","3,362","7,244","3,445","4,511"
W92000004,Wales,All local authorities,"1,279.9",106.4,"1,386.3",124,"1,510","4,492",688,"5,180","10,366","15,546","3,510","6,461","3,736","83,502","10,292","3,041","5,162","3,119","7,688","3,201","3,928"
