"Subnational electricity consumption, Great Britain, 2012",,,,,,,,,,,,,,,,,,,,,,,
"This table shows the electricity consumption and the number of electric meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,,,,,,,,,,,,
Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic Standard","Number of meters
(thousands):
Domestic E7 
","Number of meters
(thousands):
All Domestic
","Number of meters
(thousands):
All Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic Standard","Total consumption
(GWh):
Domestic E7","Total consumption
(GWh):
All Domestic
","Total consumption
(GWh):
All Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic Standard","Mean consumption
(kWh per meter):
Domestic E7","Mean consumption
(kWh per meter):
All Domestic
","Mean consumption
(kWh per meter):
All Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic Standard","Median consumption
(kWh per meter):
Domestic E7","Median consumption
(kWh per meter):
All Domestic
","Median consumption
(kWh per meter):
All Non-Domestic","Median consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
K03000001,Great Britain,All local authorities,"22,589.9","4,820.6","27,410.5","2,398","29,808","82,926","27,140","110,066","180,827","290,893","3,671","5,630","4,015","75,414","9,759","3,060","4,353","3,211","8,938","3,296","4,261"
E92000001,England,All local authorities,"18,994.3","4,224.9","23,219.3","2,036","25,255","70,136","23,551","93,687","150,307","243,995","3,692","5,574","4,035","73,832","9,661","3,068","4,309","3,224","8,864","3,308","4,233"
E12000001,North East,All local authorities,"1,118.2",78.5,"1,196.7",81,"1,277","3,700",439,"4,138","7,611","11,749","3,309","5,589","3,458","94,170","9,197","2,870","4,365","2,914","9,596","2,979","3,668"
E12000002,North West,All local authorities,"2,889.5",254.5,"3,144.0",236,"3,379","10,529","1,644","12,173","20,342","32,515","3,644","6,459","3,872","86,377","9,621","3,120","5,256","3,206","10,399","3,293","4,044"
E12000003,Yorkshire and The Humber,All local authorities,"2,150.8",192.0,"2,342.8",179,"2,522","7,591","1,149","8,740","14,765","23,505","3,530","5,984","3,731","82,546","9,321","2,979","4,680","3,050","9,888","3,132","3,929"
E12000004,East Midlands,All local authorities,"1,226.4",766.1,"1,992.4",157,"2,149","4,303","3,574","7,878","12,809","20,687","3,509","4,666","3,954","81,636","9,625","2,965","3,641","3,196","10,741","3,286","4,149"
E12000005,West Midlands,All local authorities,"1,945.3",433.8,"2,379.0",193,"2,572","7,210","2,390","9,600","14,756","24,356","3,706","5,509","4,035","76,351","9,468","3,147","4,281","3,293","9,618","3,376","4,176"
E12000006,East,All local authorities,"1,707.3",854.3,"2,561.6",216,"2,777","6,529","4,598","11,126","15,850","26,976","3,824","5,382","4,343","73,451","9,713","3,164","4,111","3,419","9,773","3,507","4,569"
E12000007,London,All local authorities,"2,928.4",492.0,"3,420.4",398,"3,818","10,642","2,633","13,275","27,532","40,807","3,634","5,352","3,881","69,197","10,687","2,867","4,245","3,001","6,742","3,080","4,042"
E12000008,South East,All local authorities,"2,982.6",754.5,"3,737.1",330,"4,068","11,927","4,361","16,289","22,700","38,989","3,999","5,781","4,359","68,698","9,585","3,257","4,532","3,442","8,712","3,524","4,557"
