"Subnational electricity consumption, Great Britain, 2020",,,,,,,,,,,,,,,,,,,,,,,
"This table shows the electricity consumption and the number of electric meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,,,,,,,,,,,,
Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic Standard","Number of meters
(thousands):
Domestic E7 
","Number of meters
(thousands):
All Domestic
","Number of meters
(thousands):
All Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic Standard","Total consumption
(GWh):
Domestic E7","Total consumption
(GWh):
All Domestic
","Total consumption
(GWh):
All Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic Standard","Mean consumption
(kWh per meter):
Domestic E7","Mean consumption
(kWh per meter):
All Domestic
","Mean consumption
(kWh per meter):
All Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic Standard","Median consumption
(kWh per meter):
Domestic E7","Median consumption
(kWh per meter):
All Domestic
","Median consumption
(kWh per meter):
All Non-Domestic","Median consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
K03000001,Great Britain (inc unallocated),All local authorities,"25,093.2","3,852.5","28,945.7","2,559.1","31,504.8","88,208.1","20,278.0","108,486.1","151,024.3","259,510.4","3,515.2","5,263.5","3,747.9","59,015.2","8,237.2","2,807.2","3,959.2","2,902.2","5,567.7","2,957.3","3,955.2"
K04000001,England and Wales (inc unallocated),All local authorities,"22,627.5","3,467.4","26,094.9","2,328.3","28,423.2","80,017.3","18,435.4","98,452.6","138,349.5","236,802.1","3,536.3","5,316.7","3,772.9","59,421.8","8,331.3","2,821.9","4,001.8","2,921.9","5,532.9","2,976.8","3,950.6"
E92000001,England,All local authorities,"21,254.9","3,376.2","24,631.2","2,178.0","26,809.2","75,394.1","17,876.8","93,270.8","126,654.1","219,924.9","3,547.1","5,294.9","3,786.7","58,151.3","8,203.3","2,825.1","3,986.5","2,927.5","5,549.0","2,982.3","3,961.8"
E12000001,North East,All local authorities,"1,189.1",60.0,"1,249.1",87.6,"1,336.7","3,658.0",296.8,"3,954.8","6,528.6","10,483.4","3,076.2","4,948.5","3,166.1","74,555.0","7,842.9","2,554.9","3,698.4","2,579.8","5,749.7","2,625.0","3,359.6"
E12000002,North West,All local authorities,"3,102.7",212.6,"3,315.3",252.0,"3,567.3","10,583.7","1,218.3","11,802.0","16,697.1","28,499.1","3,411.2","5,729.7","3,559.9","66,249.6","7,988.9","2,804.6","4,559.7","2,859.8","6,351.7","2,916.0","3,733.8"
E12000003,Yorkshire and The Humber,All local authorities,"2,290.5",151.4,"2,442.0",196.5,"2,638.4","7,735.1",824.9,"8,560.1","13,303.7","21,863.8","3,377.0","5,447.7","3,505.4","67,720.4","8,286.7","2,726.7","4,155.3","2,770.1","6,120.7","2,829.6","3,670.2"
E12000004,East Midlands,All local authorities,"1,533.0",579.9,"2,112.8",172.5,"2,285.3","5,337.9","2,661.3","7,999.2","11,468.7","19,467.9","3,482.1","4,589.6","3,786.1","66,498.5","8,518.9","2,808.8","3,379.3","2,941.2","6,557.0","3,002.1","3,923.5"
E12000005,West Midlands,All local authorities,"2,167.2",346.3,"2,513.5",212.6,"2,726.1","7,716.0","1,785.2","9,501.2","12,617.8","22,119.0","3,560.3","5,155.4","3,780.0","59,352.2","8,113.8","2,890.0","3,869.1","2,981.0","6,003.9","3,039.3","3,891.3"
E12000006,East,All local authorities,"2,060.2",666.8,"2,727.0",232.5,"2,959.5","7,793.9","3,550.8","11,344.7","13,757.3","25,101.9","3,783.1","5,325.2","4,160.1","59,161.1","8,481.7","2,980.2","3,934.3","3,150.1","6,151.1","3,208.3","4,368.5"
E12000007,London,All local authorities,"3,249.4",417.2,"3,666.6",410.1,"4,076.7","11,039.0","2,074.9","13,114.0","21,080.0","34,194.0","3,397.3","4,973.5","3,576.6","51,403.8","8,387.7","2,619.9","3,843.0","2,707.1","4,198.4","2,751.8","3,701.4"
