"Subnational gas consumption, Great Britain, 2014",,,,,,,,,,,,,,,
"This table shows the gas consumption and the number of gas meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,,,,
"Cells in the ""Notes"" columns have been left blank where there is no note for the given row.",,,,,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,,,,
Code,Country or region,Local authority,Notes,"Number of meters
(thousands):
Domestic
","Number of meters
(thousands):
Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic
","Total consumption
(GWh):
Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic
","Mean consumption
(kWh per meter):
Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic
","Median consumption
(kWh per meter):
Non-Domestic","Median consumption
(kWh per meter):
All meters"
K03000001,Great Britain,All local authorities,,"23,234.7",270.8,"23,505.5","311,926","189,359","501,285","13,425","699,381","21,326","11,958","155,083","12,060"
E92000001,England,All local authorities,,"20,062.1",233.7,"20,295.8","269,076","157,210","426,286","13,412","672,569","21,004","11,947","153,200","12,048"
E12000001,North East,All local authorities,,"1,096.2",11.4,"1,107.6","14,942","8,341","23,283","13,631","730,676","21,021","12,526","164,579","12,604"
E12000002,North West,All local authorities,,"2,891.9",31.2,"2,923.1","38,205","26,232","64,437","13,211","840,417","22,044","11,881","155,812","11,973"
E12000003,Yorkshire and The Humber,All local authorities,,"2,114.1",24.2,"2,138.3","29,344","22,880","52,223","13,880","946,307","24,423","12,525","152,180","12,623"
E12000004,East Midlands,All local authorities,,"1,760.1",18.9,"1,779.0","24,227","14,253","38,480","13,765","752,671","21,630","12,528","155,221","12,616"
E12000005,West Midlands,All local authorities,,"2,101.3",23.6,"2,125.0","28,183","17,406","45,589","13,412","736,118","21,454","12,175","164,124","12,262"
E12000006,East,All local authorities,,"2,057.8",22.4,"2,080.2","27,859","15,897","43,755","13,538","709,762","21,034","12,072","149,171","12,161"
E13000001,Inner London,All local authorities,,"1,214.2",22.8,"1,237.0","13,985","12,101","26,086","11,518","531,795","21,088","9,366","169,015","9,534"
E13000002,Outer London,All local authorities,,"1,800.6",19.5,"1,820.2","26,305","9,381","35,686","14,608","480,641","19,606","12,909","141,257","13,021"
