"Subnational gas consumption, Great Britain, 2014",,,,,,,,,,,,,,,
"This table shows the gas consumption and the number of gas meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,,,,
"Cells in the ""Notes"" columns have been left blank where there is no note for the given row.",,,,,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,,,,
Code,Country or region,Local authority,Notes,"Number of meters
(thousands):
Domestic
","Number of meters
(thousands):
Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic
","Total consumption
(GWh):
Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic
","Mean consumption
(kWh per meter):
Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic
","Median consumption
(kWh per meter):
Non-Domestic","Median consumption
(kWh per meter):
All meters"
E12000008,South East,All local authorities,,"3,187.3",39.9,"3,227.2","44,188","18,948","63,136","13,864","474,610","19,564","12,151","142,090","12,259"
E12000009,South West,All local authorities,,"1,838.6",19.8,"1,858.3","21,839","11,772","33,611","11,878","595,621","18,087","10,462","153,991","10,545"
W92000004,Wales,All local authorities,,"1,116.6",10.7,"1,127.3","14,263","9,359","23,622","12,774","877,067","20,955","11,657","158,450","11,736"
S92000003,Scotland,All local authorities,,"1,979.7",23.9,"2,003.6","27,700","20,441","48,141","13,992","857,012","24,027","12,375","169,048","12,491"
Unallocated,Unallocated,All local authorities,,76.3,2.5,78.8,887,"2,349","3,236","11,621","945,322","41,061","9,591","234,530","9,905"
E06000001,North East,Hartlepool,[note 1],40.8,0.4,41.1,526,305,831,"12,912","775,852","20,198","11,881","162,129","11,963"
E06000002,North East,Middlesbrough,[note 1],58.3,0.6,58.9,761,339,"1,099","13,056","556,864","18,671","11,964","169,980","12,043"
E06000003,North East,Redcar and Cleveland,[note 1],59.0,0.4,59.4,774,470,"1,244","13,119","1,072,810","20,929","12,282","154,851","12,334"
E06000004,North East,Stockton-on-Tees,[note 1],80.2,0.8,81.0,"1,083",716,"1,799","13,512","925,053","22,227","12,521","178,754","12,596"
E06000005,North East,Darlington,,45.6,0.5,46.1,632,564,"1,196","13,846","1,147,034","25,939","12,731","156,188","12,821"
E06000047,North East,County Durham,,219.7,2.0,221.7,"3,034","1,316","4,350","13,810","652,734","19,620","12,829","159,142","12,906"
E06000057,North East,Northumberland,,117.5,1.3,118.8,"1,665",993,"2,658","14,169","772,769","22,373","12,704","143,304","12,794"
E08000021,North East,Newcastle upon Tyne,,109.9,1.7,111.6,"1,521","1,177","2,698","13,842","681,635","24,168","12,311","172,432","12,450"
E08000022,North East,North Tyneside,,90.7,0.9,91.6,"1,243",611,"1,853","13,702","690,273","20,242","12,578","175,259","12,651"
E08000023,North East,South Tyneside,,67.9,0.6,68.5,866,230,"1,096","12,745","391,164","15,999","11,723","171,641","11,797"
E08000024,North East,Sunderland,,119.9,1.3,121.2,"1,657",863,"2,521","13,819","679,723","20,797","12,871","174,649","12,953"
E08000037,North East,Gateshead,,86.7,0.9,87.7,"1,180",757,"1,937","13,610","806,177","22,101","12,539","172,586","12,618"
E06000006,North West,Halton,[note 1],53.5,0.5,54.0,624,562,"1,186","11,673","1,122,717","21,990","10,699","186,507","10,773"
E06000007,North West,Warrington,,86.8,0.9,87.7,"1,133","1,096","2,230","13,062","1,226,434","25,435","11,835","163,371","11,919"
E06000008,North West,Blackburn with Darwen,[note 1],58.1,0.8,58.8,801,440,"1,241","13,791","555,461","21,081","12,467","159,345","12,607"
E06000009,North West,Blackpool,,62.6,0.7,63.3,790,344,"1,134","12,613","475,653","17,906","11,299","152,886","11,399"
E06000049,North West,Cheshire East,[note 1],145.0,1.7,146.7,"2,175","1,628","3,803","14,997","931,020","25,915","13,291","133,666","13,403"
E06000050,North West,Cheshire West and Chester,[note 1],133.0,1.3,134.3,"1,758","1,505","3,263","13,213","1,156,280","24,293","11,846","157,548","11,923"
E07000026,North West,Allerdale,[note 1],37.1,0.4,37.6,513,973,"1,486","13,808","2,172,224","39,542","12,465","146,843","12,573"
E07000027,North West,Barrow-in-Furness,[note 1],32.1,0.3,32.4,370,472,842,"11,517","1,621,080","25,971","10,713","160,090","10,786"
E07000028,North West,Carlisle,,42.1,0.5,42.6,568,481,"1,048","13,489","901,650","24,597","12,161","155,382","12,265"
E07000029,North West,Copeland,[note 1],28.5,0.2,28.7,386,84,469,"13,525","366,868","16,327","12,455","154,226","12,518"
E07000030,North West,Eden,[note 1],10.5,0.1,10.7,153,334,487,"14,492","2,273,011","45,543","12,810","165,144","12,928"
E07000031,North West,South Lakeland,,39.4,0.8,40.1,562,660,"1,221","14,276","853,186","30,434","12,415","128,554","12,591"
E07000117,North West,Burnley,,39.4,0.4,39.8,510,201,711,"12,949","449,332","17,861","11,874","168,368","11,975"
E07000118,North West,Chorley,[note 1],45.2,0.4,45.6,619,346,965,"13,683","877,539","21,140","12,392","138,287","12,462"
E07000119,North West,Fylde,,32.2,0.4,32.6,479,171,649,"14,868","395,465","19,909","13,222","137,615","13,345"
E07000120,North West,Hyndburn,,35.4,0.4,35.8,464,187,651,"13,090","475,595","18,176","12,112","164,700","12,200"
E07000121,North West,Lancaster,,53.8,0.6,54.4,707,469,"1,177","13,138","809,176","21,623","11,846","170,970","11,937"
E07000122,North West,Pendle,,38.3,0.4,38.8,528,248,776,"13,771","572,005","20,006","12,510","146,514","12,619"
E07000123,North West,Preston,,54.5,0.8,55.3,709,381,"1,090","13,006","502,132","19,724","11,553","164,214","11,678"
E07000124,North West,Ribble Valley,,20.6,0.3,20.9,325,253,579,"15,759","920,981","27,661","14,169","136,623","14,330"
E07000125,North West,Rossendale,,30.1,0.3,30.4,446,285,730,"14,817","835,006","24,014","13,422","144,705","13,535"
E07000126,North West,South Ribble,,45.9,0.4,46.3,614,307,921,"13,367","741,563","19,875","12,310","150,205","12,374"
E07000127,North West,West Lancashire,[note 1],41.8,0.4,42.3,598,417,"1,015","14,300","928,832","24,012","12,767","144,579","12,859"
E07000128,North West,Wyre,,44.7,0.4,45.1,615,401,"1,016","13,763","1,065,222","22,532","12,609","147,936","12,686"
E08000001,North West,Bolton,,115.2,1.3,116.5,"1,540",538,"2,078","13,367","429,256","17,841","12,045","150,084","12,145"
E08000002,North West,Bury,,78.4,0.8,79.2,"1,109",389,"1,499","14,154","491,695","18,932","12,759","145,151","12,850"
E08000003,North West,Manchester,[note 1],180.9,2.6,183.5,"2,127","1,602","3,730","11,763","611,541","20,327","10,383","184,079","10,502"
E08000004,North West,Oldham,,90.2,1.0,91.2,"1,222",373,"1,595","13,544","391,197","17,492","12,251","166,571","12,340"
E08000005,North West,Rochdale,,87.8,0.9,88.7,"1,147",509,"1,656","13,075","536,435","18,669","11,764","164,296","11,859"
E08000006,North West,Salford,,94.8,1.1,95.9,"1,168",555,"1,723","12,325","503,563","17,977","10,991","161,510","11,084"
E08000007,North West,Stockport,,118.3,1.2,119.5,"1,782",602,"2,384","15,054","499,509","19,941","13,545","144,966","13,642"
E08000008,North West,Tameside,,96.1,0.8,97.0,"1,218",512,"1,730","12,671","619,071","17,843","11,631","162,267","11,703"
E08000009,North West,Trafford,,91.1,1.3,92.4,"1,412","2,362","3,773","15,494","1,782,439","40,822","13,841","134,775","13,978"
E08000010,North West,Wigan,,135.3,1.0,136.2,"1,647",808,"2,455","12,178","825,170","18,020","11,346","151,193","11,397"
E08000011,North West,Knowsley,,62.8,0.4,63.2,719,640,"1,359","11,445","1,461,567","21,488","10,743","199,246","10,791"
E08000012,North West,Liverpool,,194.5,2.2,196.7,"2,276","1,617","3,893","11,700","745,656","19,794","10,511","181,252","10,605"
E08000013,North West,St. Helens,[note 1],78.5,0.6,79.2,966,"1,183","2,149","12,298","1,871,813","27,145","11,400","153,881","11,460"
E08000014,North West,Sefton,[note 1],117.9,1.1,119.0,"1,598","1,513","3,111","13,555","1,316,558","26,132","12,180","147,267","12,263"
E08000015,North West,Wirral,,139.4,1.1,140.5,"1,830",783,"2,613","13,130","685,377","18,593","11,768","145,324","11,844"
E06000010,Yorkshire and The Humber,"Kingston upon Hull, City of",[note 1],111.4,1.2,112.7,"1,298","1,064","2,363","11,650","863,332","20,972","10,662","172,890","10,736"
E06000011,Yorkshire and The Humber,East Riding of Yorkshire,[note 1],127.6,1.2,128.8,"1,825","1,241","3,067","14,307","1,022,579","23,810","12,956","141,256","13,041"
E06000012,Yorkshire and The Humber,North East Lincolnshire,[note 1],69.0,0.6,69.6,864,"2,337","3,201","12,519","3,844,475","45,983","11,637","179,093","11,707"
E06000013,Yorkshire and The Humber,North Lincolnshire,[note 1],66.1,0.6,66.7,896,780,"1,676","13,562","1,268,906","25,143","12,429","156,416","12,507"
E06000014,Yorkshire and The Humber,York,,78.3,1.1,79.5,"1,096",670,"1,765","13,992","587,976","22,221","12,698","153,272","12,825"
E07000163,Yorkshire and The Humber,Craven,,20.7,0.3,21.0,307,129,437,"14,850","435,069","20,795","13,207","133,834","13,332"
E07000164,Yorkshire and The Humber,Hambleton,,24.0,0.3,24.3,346,320,667,"14,434","1,092,940","27,441","13,088","153,923","13,184"
E07000165,Yorkshire and The Humber,Harrogate,,56.7,1.0,57.7,910,473,"1,383","16,038","495,658","23,968","13,936","131,836","14,100"
E07000166,Yorkshire and The Humber,Richmondshire,,12.3,0.2,12.5,183,155,338,"14,836","662,784","26,928","13,465","181,959","13,638"
E07000167,Yorkshire and The Humber,Ryedale,,13.4,0.2,13.6,188,275,463,"14,006","1,708,394","34,121","12,301","130,017","12,410"
E07000168,Yorkshire and The Humber,Scarborough,,46.4,0.6,47.0,622,442,"1,063","13,394","756,302","22,625","11,859","136,114","11,975"
E07000169,Yorkshire and The Humber,Selby,,27.0,0.2,27.2,375,"1,060","1,435","13,886","5,122,108","52,758","12,602","142,891","12,662"
E08000016,Yorkshire and The Humber,Barnsley,,102.6,0.8,103.4,"1,353","1,125","2,478","13,186","1,430,084","23,971","12,286","146,304","12,347"
E08000017,Yorkshire and The Humber,Doncaster,,126.2,1.1,127.3,"1,672","1,056","2,728","13,256","962,448","21,438","12,343","158,023","12,408"
E08000018,Yorkshire and The Humber,Rotherham,[note 1],111.0,1.1,112.1,"1,479","1,243","2,722","13,323","1,123,806","24,280","12,386","161,371","12,463"
E08000019,Yorkshire and The Humber,Sheffield,[note 1],220.6,2.7,223.3,"3,065","2,275","5,340","13,894","842,532","23,915","12,561","155,666","12,668"
E08000032,Yorkshire and The Humber,Bradford,,196.8,2.6,199.4,"2,997","1,890","4,887","15,229","734,240","24,513","13,747","155,173","13,877"
E08000033,Yorkshire and The Humber,Calderdale,,87.4,1.2,88.6,"1,271",616,"1,887","14,547","506,767","21,302","12,963","135,240","13,097"
E08000034,Yorkshire and The Humber,Kirklees,[note 1],173.2,2.0,175.3,"2,534","1,657","4,191","14,630","815,540","23,916","13,140","142,371","13,256"
E08000035,Yorkshire and The Humber,Leeds,[note 1],303.4,3.7,307.1,"4,213","2,468","6,681","13,887","659,759","21,753","12,375","159,094","12,484"
E08000036,Yorkshire and The Humber,Wakefield,[note 1],140.0,1.4,141.4,"1,849","1,601","3,451","13,208","1,155,448","24,405","12,130","155,344","12,203"
E06000015,East Midlands,Derby,[note 1],102.4,1.0,103.4,"1,316",724,"2,040","12,853","708,735","19,724","11,793","162,239","11,874"
E06000016,East Midlands,Leicester,,118.1,1.7,119.8,"1,629","1,321","2,950","13,798","771,093","24,627","12,400","162,702","12,527"
E06000017,East Midlands,Rutland,,12.9,0.2,13.1,203,97,300,"15,773","486,142","22,941","14,080","146,433","14,240"
E06000018,East Midlands,Nottingham,,115.6,1.6,117.3,"1,444",779,"2,223","12,486","473,975","18,956","11,093","164,605","11,210"
E07000032,East Midlands,Amber Valley,,51.9,0.5,52.4,741,345,"1,086","14,288","660,947","20,733","13,174","153,353","13,262"
E07000033,East Midlands,Bolsover,,32.2,0.3,32.5,440,208,648,"13,644","773,617","19,936","12,904","191,159","12,966"
E07000034,East Midlands,Chesterfield,,46.8,0.5,47.4,608,286,894,"12,974","536,464","18,876","12,017","160,473","12,108"
E07000035,East Midlands,Derbyshire Dales,,25.7,0.4,26.2,409,356,764,"15,899","792,437","29,232","13,818","122,397","14,000"
E07000036,East Midlands,Erewash,,49.0,0.5,49.4,652,158,810,"13,313","346,949","16,384","12,287","155,870","12,354"
E07000037,East Midlands,High Peak,[note 1],37.7,0.5,38.2,566,335,901,"15,018","716,499","23,599","13,383","146,281","13,512"
E07000038,East Midlands,North East Derbyshire,,41.9,0.3,42.2,620,182,803,"14,814","521,844","19,003","13,642","143,850","13,712"
E07000039,East Midlands,South Derbyshire,,36.0,0.3,36.3,496,459,955,"13,780","1,480,428","26,296","12,682","128,496","12,745"
E07000129,East Midlands,Blaby,,38.5,0.4,38.9,560,169,729,"14,540","439,370","18,742","13,457","162,217","13,536"
E07000130,East Midlands,Charnwood,,67.4,0.8,68.2,952,623,"1,575","14,126","799,303","23,111","12,685","155,246","12,778"
E07000131,East Midlands,Harborough,,30.6,0.4,31.0,485,179,664,"15,839","480,305","21,413","14,197","136,586","14,306"
E07000132,East Midlands,Hinckley and Bosworth,,43.6,0.4,44.0,604,258,862,"13,855","630,387","19,599","12,652","151,174","12,730"
E07000133,East Midlands,Melton,,17.9,0.2,18.0,254,223,477,"14,214","1,172,858","26,414","12,819","135,584","12,919"
E07000134,East Midlands,North West Leicestershire,,35.5,0.4,35.9,520,596,"1,117","14,656","1,465,006","31,096","13,518","164,996","13,592"
E07000135,East Midlands,Oadby and Wigston,,22.2,0.3,22.5,339,99,438,"15,233","323,650","19,418","13,862","139,153","13,966"
E07000136,East Midlands,Boston,,21.5,0.2,21.7,279,74,354,"12,965","375,731","16,271","11,780","162,926","11,851"
E07000137,East Midlands,East Lindsey,,38.8,0.5,39.2,511,200,711,"13,176","424,754","18,118","11,724","145,196","11,824"
E07000138,East Midlands,Lincoln,[note 1],40.6,0.5,41.1,488,356,844,"11,996","729,566","20,509","10,726","185,266","10,815"
E07000139,East Midlands,North Kesteven,,36.3,0.3,36.6,492,177,669,"13,549","643,281","18,283","12,561","157,767","12,612"
E07000140,East Midlands,South Holland,[note 1],27.8,0.2,28.0,373,236,609,"13,426","1,144,690","21,748","12,222","136,216","12,281"
E07000141,East Midlands,South Kesteven,,47.1,0.5,47.6,625,381,"1,006","13,267","832,805","21,141","12,072","157,373","12,147"
E07000142,East Midlands,West Lindsey,,30.8,0.3,31.0,425,147,572,"13,804","562,566","18,439","12,686","152,023","12,757"
E07000150,East Midlands,Corby,[note 1],26.8,0.3,27.1,343,880,"1,224","12,809","2,596,270","45,070","12,103","199,693","12,190"
E07000151,East Midlands,Daventry,,23.7,0.3,24.0,342,214,556,"14,442","642,039","23,148","12,708","139,613","12,821"
E07000152,East Midlands,East Northamptonshire,,32.1,0.3,32.4,432,120,552,"13,469","402,377","17,061","12,260","154,314","12,333"
E07000153,East Midlands,Kettering,,38.9,0.4,39.2,514,387,901,"13,228","1,087,771","22,980","12,099","145,832","12,168"
E07000154,East Midlands,Northampton,,88.1,1.0,89.1,"1,110",586,"1,696","12,599","597,620","19,033","11,420","175,422","11,506"
E07000155,East Midlands,South Northamptonshire,,27.8,0.2,28.0,415,84,499,"14,935","359,296","17,825","13,569","123,166","13,632"
E07000156,East Midlands,Wellingborough,,32.0,0.4,32.4,413,154,567,"12,893","412,237","17,502","11,756","165,083","11,847"
E07000170,East Midlands,Ashfield,,51.9,0.5,52.4,710,299,"1,009","13,689","623,268","19,277","12,883","177,946","12,951"
E07000171,East Midlands,Bassetlaw,[note 1],40.9,0.4,41.2,554,248,802,"13,565","655,394","19,448","12,446","155,992","12,513"
E07000172,East Midlands,Broxtowe,,47.5,0.4,47.9,673,495,"1,168","14,158","1,279,381","24,378","13,123","144,087","13,188"
E07000173,East Midlands,Gedling,,48.2,0.3,48.6,715,273,988,"14,825","789,120","20,342","13,648","148,780","13,719"
E07000174,East Midlands,Mansfield,,45.9,0.4,46.3,648,138,786,"14,125","340,993","16,984","13,284","170,654","13,364"
E07000175,East Midlands,Newark and Sherwood,,43.7,0.4,44.1,620,849,"1,469","14,213","1,893,988","33,310","12,902","140,501","12,981"
E07000176,East Midlands,Rushcliffe,,43.9,0.4,44.3,706,557,"1,264","16,089","1,272,726","28,503","14,569","123,797","14,656"
E06000019,West Midlands,"Herefordshire, County of",,50.1,0.6,50.7,598,520,"1,119","11,936","857,345","22,050","10,426","153,639","10,515"
E06000020,West Midlands,Telford and Wrekin,,67.3,0.7,68.0,828,568,"1,396","12,304","760,751","20,521","11,247","184,884","11,304"
E06000021,West Midlands,Stoke-on-Trent,[note 1],108.5,1.1,109.6,"1,346","2,096","3,441","12,399","1,910,237","31,391","11,555","172,879","11,625"
E06000051,West Midlands,Shropshire,,88.1,1.0,89.0,"1,115",697,"1,812","12,663","715,379","20,349","11,271","152,002","11,348"
E07000192,West Midlands,Cannock Chase,,39.5,0.3,39.8,540,225,765,"13,675","644,971","19,205","12,805","160,785","12,878"
E07000193,West Midlands,East Staffordshire,,42.3,0.5,42.8,567,556,"1,123","13,420","1,119,969","26,256","12,221","158,315","12,312"
E07000194,West Midlands,Lichfield,,38.6,0.4,39.0,581,178,758,"15,059","401,980","19,444","13,524","142,157","13,631"
E07000195,West Midlands,Newcastle-under-Lyme,,50.6,0.5,51.1,704,495,"1,200","13,907","1,065,429","23,475","12,844","168,067","12,925"
E07000196,West Midlands,South Staffordshire,,40.4,0.3,40.8,596,320,916,"14,734","1,020,295","22,481","13,468","165,976","13,533"
E07000197,West Midlands,Stafford,,47.1,0.5,47.6,670,342,"1,013","14,227","701,721","21,276","13,016","164,731","13,097"
E07000198,West Midlands,Staffordshire Moorlands,,35.6,0.3,35.9,526,471,997,"14,793","1,503,641","27,783","13,713","152,786","13,783"
E07000199,West Midlands,Tamworth,,29.9,0.3,30.2,376,165,541,"12,568","555,506","17,909","11,675","156,754","11,753"
E07000218,West Midlands,North Warwickshire,,23.3,0.3,23.6,324,365,690,"13,917","1,205,264","29,203","12,789","158,033","12,879"
E07000219,West Midlands,Nuneaton and Bedworth,,51.2,0.5,51.6,660,199,859,"12,894","440,248","16,626","12,153","179,590","12,220"
E07000220,West Midlands,Rugby,,39.4,0.4,39.8,543,352,895,"13,796","813,256","22,491","12,527","156,379","12,619"
E07000221,West Midlands,Stratford-on-Avon,,36.4,0.5,36.9,515,222,737,"14,172","443,032","20,000","12,347","155,306","12,462"
E07000222,West Midlands,Warwick,,51.4,0.7,52.1,726,267,993,"14,134","375,995","19,059","12,518","155,588","12,645"
E07000234,West Midlands,Bromsgrove,,36.3,0.4,36.7,568,131,699,"15,636","300,014","19,025","14,045","129,418","14,165"
E07000235,West Midlands,Malvern Hills,,21.4,0.3,21.7,284,77,361,"13,274","284,050","16,647","11,611","157,481","11,719"
E07000236,West Midlands,Redditch,,34.5,0.4,34.8,422,172,594,"12,249","461,076","17,043","11,175","165,144","11,255"
E07000237,West Midlands,Worcester,,40.3,0.5,40.8,475,224,699,"11,778","470,371","17,132","10,629","159,545","10,723"
E07000238,West Midlands,Wychavon,,38.8,0.4,39.2,507,482,989,"13,061","1,149,778","25,197","11,532","154,845","11,618"
E07000239,West Midlands,Wyre Forest,,39.1,0.4,39.4,498,173,671,"12,754","479,567","17,018","11,596","153,076","11,662"
E08000025,West Midlands,Birmingham,[note 1],386.7,5.1,391.8,"5,352","3,232","8,584","13,841","631,782","21,910","12,477","164,716","12,598"
E08000026,West Midlands,Coventry,,127.0,1.3,128.3,"1,585","1,036","2,621","12,477","823,629","20,430","11,510","179,834","11,591"
E08000027,West Midlands,Dudley,,130.0,1.3,131.3,"1,733",638,"2,371","13,333","480,609","18,059","12,357","168,279","12,443"
E08000028,West Midlands,Sandwell,,122.7,1.4,124.1,"1,553","1,091","2,644","12,655","805,730","21,310","11,774","175,587","11,855"
E08000029,West Midlands,Solihull,,82.2,0.9,83.1,"1,243",718,"1,961","15,123","833,151","23,612","13,613","170,336","13,708"
E08000030,West Midlands,Walsall,,105.2,1.1,106.4,"1,424",703,"2,127","13,536","616,628","20,000","12,354","164,810","12,443"
E08000031,West Midlands,Wolverhampton,,97.6,1.3,98.8,"1,323",691,"2,014","13,559","546,106","20,381","12,335","167,564","12,450"
E06000031,East,Peterborough,[note 1],73.0,0.8,73.8,904,408,"1,312","12,379","535,061","17,785","11,063","178,898","11,144"
E06000032,East,Luton,,70.2,0.8,71.0,983,377,"1,359","13,995","479,431","19,147","12,999","173,891","13,105"
E06000033,East,Southend-on-Sea,,72.5,0.7,73.2,"1,015",209,"1,224","14,011","288,599","16,726","12,600","136,257","12,697"
E06000034,East,Thurrock,[note 1],56.5,0.5,57.0,694,763,"1,457","12,285","1,606,500","25,572","11,337","162,804","11,395"
E06000055,East,Bedford,,58.2,0.7,58.9,781,297,"1,078","13,428","430,037","18,320","11,948","145,761","12,046"
E06000056,East,Central Bedfordshire,,98.1,0.8,98.9,"1,343",442,"1,785","13,696","533,084","18,050","12,401","142,853","12,472"
E07000008,East,Cambridge,,44.4,1.1,45.5,600,549,"1,149","13,529","490,967","25,278","11,435","175,232","11,668"
E07000009,East,East Cambridgeshire,,24.8,0.2,25.0,333,66,399,"13,443","330,833","15,958","12,093","143,314","12,129"
E07000010,East,Fenland,,33.4,0.3,33.7,439,695,"1,134","13,136","2,631,296","33,660","11,851","153,787","11,913"
E07000011,East,Huntingdonshire,[note 1],61.6,0.6,62.2,809,324,"1,133","13,135","581,121","18,223","11,929","146,904","11,997"
E07000012,East,South Cambridgeshire,,44.3,0.4,44.8,631,437,"1,068","14,231","998,456","23,856","12,631","167,254","12,709"
E07000066,East,Basildon,,69.3,0.6,69.9,873,339,"1,211","12,587","542,689","17,316","11,385","155,264","11,454"
E07000067,East,Braintree,,46.8,0.5,47.3,620,214,834,"13,242","447,962","17,637","11,915","144,919","11,992"
E07000068,East,Brentwood,,29.8,0.4,30.2,489,124,613,"16,402","304,212","20,267","14,557","128,397","14,706"
E07000069,East,Castle Point,,34.7,0.2,35.0,513,68,580,"14,760","272,384","16,587","13,788","124,040","13,852"
E07000070,East,Chelmsford,,58.7,0.6,59.3,817,261,"1,078","13,935","427,996","18,190","12,802","157,884","12,889"
E07000071,East,Colchester,,61.7,0.6,62.3,800,258,"1,058","12,969","437,303","16,987","11,758","161,697","11,837"
E07000072,East,Epping Forest,[note 1],47.3,0.7,48.0,750,331,"1,081","15,840","500,603","22,518","13,734","120,300","13,887"
E07000073,East,Harlow,[note 1],34.3,0.4,34.7,404,251,654,"11,756","711,772","18,859","10,793","185,165","10,866"
E07000074,East,Maldon,,16.3,0.1,16.5,221,47,268,"13,530","329,824","16,295","12,421","120,544","12,483"
E07000075,East,Rochford,,31.7,0.2,31.9,479,64,543,"15,115","263,798","17,017","14,139","128,376","14,205"
E07000076,East,Tendring,,55.1,0.4,55.5,695,245,940,"12,618","567,793","16,939","11,448","132,096","11,507"
E07000077,East,Uttlesford,,23.2,0.3,23.6,368,112,480,"15,818","360,972","20,374","13,945","135,420","14,080"
E07000095,East,Broxbourne,[note 1],35.3,0.4,35.7,481,144,624,"13,622","381,378","17,510","12,366","135,926","12,459"
E07000096,East,Dacorum,,56.0,0.7,56.6,837,519,"1,356","14,954","788,532","23,939","13,189","139,871","13,301"
E07000098,East,Hertsmere,,39.0,0.7,39.6,637,269,906,"16,338","411,827","22,866","14,094","133,820","14,279"
E07000099,East,North Hertfordshire,,47.0,0.6,47.6,669,291,960,"14,229","482,954","20,166","12,623","143,589","12,732"
E07000102,East,Three Rivers,,33.8,0.5,34.3,582,130,712,"17,210","255,400","20,740","14,792","109,882","14,962"
E07000103,East,Watford,,33.6,0.5,34.1,483,167,650,"14,361","369,312","19,058","12,834","168,106","12,967"
E07000143,East,Breckland,,32.2,0.3,32.5,391,172,564,"12,157","540,658","17,344","11,110","154,293","11,181"
E07000144,East,Broadland,,42.1,0.3,42.4,564,125,689,"13,384","474,231","16,256","12,330","165,970","12,377"
E07000145,East,Great Yarmouth,[note 1],32.5,0.4,32.8,358,152,510,"11,015","429,399","15,541","9,648","152,796","9,724"
E07000146,East,King's Lynn and West Norfolk,[note 1],35.9,0.4,36.3,450,"2,193","2,642","12,533","5,467,891","72,804","11,341","153,212","11,422"
E07000147,East,North Norfolk,,26.2,0.3,26.5,328,209,537,"12,516","689,114","20,238","11,044","151,190","11,141"
E07000148,East,Norwich,,58.2,0.8,59.0,639,499,"1,138","10,972","639,896","19,290","9,589","166,565","9,678"
E07000149,East,South Norfolk,,30.3,0.2,30.5,386,256,643,"12,760","1,159,849","21,072","11,600","147,020","11,663"
E07000200,East,Babergh,,24.4,0.2,24.7,321,144,464,"13,120","577,744","18,815","11,828","137,199","11,897"
E07000202,East,Ipswich,,51.3,0.5,51.9,604,212,816,"11,755","399,287","15,730","10,696","165,628","10,766"
E07000203,East,Mid Suffolk,,18.8,0.1,18.9,224,232,456,"11,896","1,611,041","24,059","10,795","187,624","10,845"
