"Subnational gas consumption, Great Britain, 2013",,,,,,,,,,,,,,,
"This table shows the gas consumption and the number of gas meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,,,,
"Cells in the ""Notes"" columns have been left blank where there is no note for the given row.",,,,,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,,,,
Code,Country or region,Local authority,Notes,"Number of meters
(thousands):
Domestic
","Number of meters
(thousands):
Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic
","Total consumption
(GWh):
Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic
","Mean consumption
(kWh per meter):
Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic
","Median consumption
(kWh per meter):
Non-Domestic","Median consumption
(kWh per meter):
All meters"
K03000001,Great Britain,All local authorities,,"23,074.1",272.7,"23,346.8","315,656","182,746","498,402","13,680","670,216","21,348","12,218","154,330","12,321"
E92000001,England,All local authorities,,"19,943.6",236.2,"20,179.7","272,429","151,748","424,176","13,660","642,539","21,020","12,195","152,633","12,297"
E12000001,North East,All local authorities,,"1,089.5",11.7,"1,101.1","15,301","8,600","23,902","14,045","737,090","21,706","12,953","162,636","13,046"
E12000002,North West,All local authorities,,"2,876.0",31.8,"2,907.8","39,022","25,618","64,640","13,568","805,173","22,230","12,233","155,310","12,330"
E12000003,Yorkshire and The Humber,All local authorities,,"2,103.1",24.4,"2,127.5","29,506","22,043","51,549","14,030","904,784","24,230","12,697","152,900","12,796"
E12000004,East Midlands,All local authorities,,"1,745.3",19.0,"1,764.3","24,292","13,975","38,266","13,919","735,561","21,690","12,698","155,596","12,791"
E12000005,West Midlands,All local authorities,,"2,089.3",23.8,"2,113.1","28,395","16,288","44,682","13,590","683,642","21,145","12,352","163,026","12,448"
E12000006,East,All local authorities,,"2,040.3",22.9,"2,063.3","28,259","15,364","43,622","13,850","669,940","21,142","12,360","149,346","12,456"
E12000007,London,All local authorities,,"3,009.1",42.5,"3,051.6","41,065","20,882","61,946","13,647","491,159","20,300","11,712","153,443","11,859"
E12000008,South East,All local authorities,,"3,168.8",40.0,"3,208.8","44,491","18,218","62,709","14,040","455,026","19,543","12,319","142,079","12,432"
