"Subnational electricity consumption, Great Britain, 2017",,,,,,,,,,,,,,,,,,,,,,,
"This table shows the electricity consumption and the number of electric meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,,,,,,,,,,,,
Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic Standard","Number of meters
(thousands):
Domestic E7 
","Number of meters
(thousands):
All Domestic
","Number of meters
(thousands):
All Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic Standard","Total consumption
(GWh):
Domestic E7","Total consumption
(GWh):
All Domestic
","Total consumption
(GWh):
All Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic Standard","Mean consumption
(kWh per meter):
Domestic E7","Mean consumption
(kWh per meter):
All Domestic
","Mean consumption
(kWh per meter):
All Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic Standard","Median consumption
(kWh per meter):
Domestic E7","Median consumption
(kWh per meter):
All Domestic
","Median consumption
(kWh per meter):
All Non-Domestic","Median consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
K03000001,Great Britain (inc unallocated),All local authorities,"24,022.8","4,199.6","28,222.4","2,498.1","30,720.5","83,382.7","22,155.3","105,538.0","174,418.6","279,956.6","3,471.0","5,275.5","3,739.5","69,821.8","9,113.0","2,830.1","3,981.0","2,940.0","8,245.3","3,019.6","3,929.2"
K04000001,England and Wales (inc unallocated),All local authorities,"21,632.2","3,781.3","25,413.5","2,270.9","27,684.4","75,409.9","20,033.3","95,443.3","159,328.5","254,771.8","3,486.0","5,298.0","3,755.6","70,160.3","9,202.7","2,839.3","3,996.0","2,952.9","8,170.2","3,032.5","3,912.1"
E92000001,England,All local authorities,"20,297.6","3,683.5","23,981.0","2,123.4","26,104.4","70,983.4","19,411.2","90,394.6","145,754.4","236,149.0","3,497.1","5,269.8","3,769.4","68,643.4","9,046.3","2,842.3","3,977.6","2,958.7","8,215.4","3,038.4","3,922.2"
E12000001,North East,All local authorities,"1,157.4",66.0,"1,223.4",85.3,"1,308.7","3,547.8",333.8,"3,881.6","7,385.2","11,266.8","3,065.3","5,058.3","3,172.8","86,552.6","8,609.0","2,605.2","3,836.1","2,634.9","8,414.8","2,696.9","3,353.6"
E12000002,North West,All local authorities,"3,000.9",227.9,"3,228.7",246.4,"3,475.1","10,199.6","1,341.8","11,541.4","19,219.1","30,760.5","3,398.9","5,888.7","3,574.6","78,000.9","8,851.6","2,856.8","4,673.4","2,920.6","9,385.2","2,999.4","3,719.6"
E12000003,Yorkshire and The Humber,All local authorities,"2,225.7",165.9,"2,391.6",190.1,"2,581.7","7,409.7",918.0,"8,327.8","14,615.4","22,943.2","3,329.1","5,533.1","3,482.0","76,900.9","8,886.9","2,750.2","4,249.3","2,801.6","8,970.1","2,881.1","3,634.7"
E12000004,East Midlands,All local authorities,"1,404.7",652.1,"2,056.8",166.9,"2,223.6","4,778.9","2,938.4","7,717.2","13,074.3","20,791.6","3,402.1","4,505.9","3,752.1","78,355.5","9,350.3","2,808.4","3,379.0","2,965.8","9,677.7","3,050.0","3,883.3"
E12000005,West Midlands,All local authorities,"2,070.1",380.0,"2,450.0",205.4,"2,655.4","7,305.9","1,965.0","9,270.8","14,871.2","24,142.1","3,529.2","5,171.6","3,783.9","72,418.7","9,091.7","2,929.0","3,898.8","3,031.9","8,813.1","3,112.0","3,883.4"
E12000006,East,All local authorities,"1,915.2",732.0,"2,647.2",226.3,"2,873.5","7,051.7","3,828.8","10,880.4","15,436.3","26,316.7","3,682.0","5,230.7","4,110.2","68,209.2","9,158.5","2,970.8","3,884.7","3,164.2","9,012.3","3,249.2","4,273.4"
E12000007,London,All local authorities,"3,118.9",443.4,"3,562.3",404.0,"3,966.2","10,610.0","2,212.5","12,822.5","25,579.4","38,401.9","3,401.9","4,989.7","3,599.5","63,322.0","9,682.2","2,636.1","3,889.1","2,740.9","6,292.8","2,817.7","3,698.5"
